ticker,HOLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-31,-13.3333
2005-09-01,0.0
2005-09-09,-0.5769
2005-09-13,0.5803
2005-09-14,-0.5769
2005-09-15,0.3868
2005-09-19,0.0
2005-09-20,-0.1927
2005-09-21,0.0
2005-09-23,0.0
2005-09-26,0.0
2005-09-27,0.3861
2005-09-28,0.0
2005-10-03,0.0
2005-10-04,0.1923
2005-10-05,0.7678
2005-10-07,0.381
2005-10-11,0.5693
2005-10-12,-1.8868
2005-10-19,1.3462
2005-10-21,-1.3283
2005-10-24,0.1923
2005-10-28,-0.1919
2005-11-01,0.1923
2005-11-03,-0.1919
2005-11-04,0.0
2005-11-07,0.1923
2005-11-09,2.6871
2005-11-10,-2.8037
2005-11-14,0.0
2005-11-15,0.0
2005-11-16,-0.9615
2005-11-17,0.1942
2005-11-23,0.0
2005-11-28,-0.1938
2005-11-29,1.165
2005-11-30,-0.5758
2005-12-01,2.3166
2005-12-02,0.0
2005-12-05,0.9434
2005-12-07,2.8037
2005-12-08,0.0
2005-12-09,0.9091
2005-12-12,2.7027
2005-12-14,-0.8772
2005-12-15,0.885
2005-12-20,-0.8772
2005-12-21,0.354
2005-12-22,0.3527
2005-12-23,0.5272
2005-12-27,-0.3497
2005-12-28,0.8772
2005-12-30,-0.3478
2006-01-03,0.349
2006-01-04,0.6957
2006-01-05,0.1727
2006-01-06,-1.0345
2006-01-09,1.0453
2006-01-10,1.5516999999999999
2006-01-11,1.0187
2006-01-12,0.5042
2006-01-13,0.3344
2006-01-17,1.1667
2006-01-18,1.318
2006-01-19,0.813
2006-01-20,0.8065
2006-01-23,2.4
2006-01-24,0.7813
2006-01-26,-0.4651
2006-01-27,2.8037
2006-01-30,-2.2727
2006-01-31,5.2713
2006-02-01,-0.1473
2006-02-02,17.9941
2006-02-03,16.25
2006-02-06,3.2258
2006-02-07,0.0
2006-02-08,0.0
2006-02-09,-0.5208
2006-02-10,-0.9424
2006-02-13,1.9026999999999998
2006-02-14,0.1037
2006-02-15,-1.0363
2006-02-16,2.9318999999999997
2006-02-17,3.2553
2006-02-21,1.4778
2006-02-22,8.7379
2006-02-23,3.5714
2006-02-24,0.0
2006-02-27,3.4483
2006-02-28,3.3333
2006-03-01,-3.2258
2006-03-02,0.0
2006-03-03,-0.0833
2006-03-06,-0.3336
2006-03-07,-2.0921
2006-03-08,0.4274
2006-03-09,1.7021
2006-03-10,0.0837
2006-03-13,-0.5017
2006-03-14,0.7563
2006-03-15,-0.3336
