ticker,ECPL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-24,15.625
2006-08-25,0.0
2006-08-28,6.3063
2006-08-29,-5.0847
2006-08-30,-6.25
2006-08-31,-0.7619
2006-09-01,-0.1919
2006-09-05,-1.9231
2006-09-08,1.9607999999999999
2006-09-11,0.0
2006-09-12,-23.0769
2006-09-13,-37.5
2006-09-14,100.0
2006-09-15,4.0
2006-09-18,-5.7692
2006-09-20,-8.1633
2006-09-22,-8.8889
2006-09-25,-4.878
2006-09-26,-10.2564
2006-09-27,0.0
2006-09-29,0.0
2006-10-02,0.0
2006-10-03,0.0
2006-10-04,2.8571
2006-10-06,-5.5556
2006-10-09,-20.5882
2006-10-10,-3.7037
2006-10-11,-3.8462
2006-10-12,-8.0
2006-10-13,0.0
2006-10-16,-4.3478
2006-10-17,-18.1818
2006-10-18,-11.1111
2006-10-19,0.0
2006-10-20,-6.25
2006-10-23,66.6667
2006-10-24,-20.0
2006-10-25,-20.0
2006-10-26,31.25
2006-10-27,-19.0476
2006-10-30,-5.8824
2006-10-31,9.375
2006-11-01,-14.2857
2006-11-02,13.3333
2006-11-03,-2.9412000000000003
2006-11-06,21.2121
2006-11-07,0.0
2006-11-08,-10.0
2006-11-09,-5.5556
2006-11-10,5.8824
2006-11-13,0.0
2006-11-14,-5.5556
2006-11-15,-11.7647
2006-11-17,3.3333
2006-11-20,3.2258
2006-11-21,0.0
2006-11-22,-18.75
2006-11-24,7.6923
2006-11-27,-21.4286
2006-11-28,0.0
2006-11-29,0.0
2006-11-30,0.0
2006-12-01,-22.7273
2006-12-04,17.647100000000002
2006-12-05,-14.0
2006-12-06,16.2791
2006-12-07,10.0
2006-12-08,-36.3636
2006-12-11,-14.2857
2006-12-12,-8.3333
2006-12-13,45.4545
2006-12-14,-12.5
2006-12-15,-28.5714
2006-12-18,0.0
2006-12-19,20.0
2006-12-20,0.0
2006-12-21,-16.6667
2006-12-22,-40.0
2006-12-26,33.3333
2006-12-27,0.0
2006-12-29,12.5
2007-01-03,4.4444
2007-01-04,0.0
2007-01-05,29.7872
2007-01-08,14.7541
2007-01-09,-7.1429
2007-01-10,0.0
2007-01-11,23.0769
2007-01-12,2.5
2007-01-16,-14.6341
2007-01-17,7.1429
2007-01-18,0.0
2007-01-19,-20.0
2007-01-22,-16.6667
2007-01-23,0.0
2007-01-24,-16.0
2007-01-25,0.0
2007-01-26,-4.7619
2007-01-29,12.5
2007-01-30,-22.2222
2007-01-31,42.8571
2007-02-02,-20.0
