ticker,VRTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-02,12.6482
2006-06-05,-1.4035
2006-06-06,3.5587
2006-06-07,-2.2337
2006-06-08,-3.6907
2006-06-09,4.562
2006-06-12,-4.8866
2006-06-13,0.367
2006-06-14,0.5484
2006-06-15,5.2727
2006-06-16,-6.2176
2006-06-19,1.2891
2006-06-20,0.0
2006-06-21,2.7273
2006-06-22,2.6549
2006-06-26,-1.7241
2006-06-27,-3.6842
2006-06-28,-2.1858
2006-06-29,0.0
2006-06-30,1.8622
2006-07-03,0.5484
2006-07-05,6.3636
2006-07-06,-2.906
2006-07-07,1.9365999999999999
2006-07-10,0.8636
2006-07-11,-3.5959
2006-07-12,1.2433
2006-07-13,-0.8772
2006-07-14,0.0
2006-07-17,0.0
2006-07-18,-4.6018
2006-07-20,2.0408
2006-07-21,-4.5455
2006-07-24,4.1905
2006-07-25,-3.6563
2006-07-26,3.4156
2006-07-27,-4.5872
2006-07-28,5.5769
2006-07-31,-4.1894
2006-08-01,1.3308
2006-08-02,6.9418
2006-08-04,6.7616
2006-08-07,4.6667
2006-08-08,1.9108
2006-08-09,-4.375
2006-08-10,4.902
2006-08-11,2.1807
2006-08-14,-0.3049
2006-08-15,1.3761
2006-08-16,0.6033
2006-08-17,2.5487
2006-08-18,-2.924
2006-08-21,0.1506
2006-08-22,-0.7519
2006-08-23,0.7576
2006-08-24,4.9624
2006-08-25,-2.7221
2006-08-28,-2.3564
2006-08-29,-0.4525
2006-08-30,1.5152
2006-08-31,-1.6418
2006-09-01,3.0349
2006-09-05,-2.3564
2006-09-06,2.5641
2006-09-07,-3.3824
2006-09-08,-8.6758
2006-09-11,7.0
2006-09-14,0.0
2006-09-15,0.4673
2006-09-19,-1.5504
2006-09-20,0.0
2006-09-21,0.7874
2006-09-22,-0.625
2006-09-25,0.7862
2006-09-27,-2.9641
2006-09-28,0.4823
2006-09-29,0.0
2006-10-02,0.0
2006-10-03,0.0
2006-10-04,0.0
2006-10-06,0.0
2006-10-09,0.0
2006-10-10,0.32
2006-10-11,1.9139
2006-10-12,-2.1909
2006-10-13,0.0
2006-10-17,0.0
2006-10-18,-0.8
2006-10-19,-1.4516
2006-10-20,-1.8003
2006-10-23,0.0
2006-10-24,0.0
2006-10-25,0.4938
2006-10-26,-0.4913
2006-10-27,0.1667
2006-10-30,-0.1643
2006-10-31,3.1645
2006-11-01,-1.454
2006-11-02,0.8197
2006-11-03,0.813
2006-11-06,-2.4194
2006-11-07,0.0
