ticker,AAGH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-26,11.1111
2012-10-01,0.0
2012-10-02,15.0
2012-10-03,-77.3913
2012-10-10,676.9231
2012-10-16,-84.1584
2012-10-26,-18.75
2012-10-31,-23.0769
2012-11-01,-10.0
2012-11-05,27.7778
2012-11-06,-4.3478
2012-11-07,0.0
2012-11-08,9.0909
2012-11-14,-18.3333
2012-11-16,22.449
2012-11-19,-16.6667
2012-11-21,30.0
2012-11-23,-15.3846
2012-11-26,9.0909
2012-11-27,25.0
2012-11-28,-23.3333
2012-11-30,39.1304
2012-12-03,-25.0
2012-12-06,8.3333
2012-12-13,7.6923
2012-12-14,-3.5714
2012-12-17,3.7037
2012-12-20,-10.7143
2012-12-24,4.0
2012-12-27,-34.6154
2012-12-28,29.4118
2012-12-31,50.0
2013-01-09,3.0303
2013-01-10,-11.7647
2013-01-11,53.3333
2013-01-14,-8.6957
2013-01-15,14.2857
2013-01-16,29.5833
2013-01-17,-32.4759
2013-01-18,-14.2857
2013-01-22,-19.4444
2013-01-23,19.3103
2013-01-24,-13.2948
2013-01-25,-24.6667
2013-01-28,6.0841
2013-01-29,-10.6361
2013-01-30,11.0852
2013-01-31,9.2437
2013-02-01,-7.6923
2013-02-04,8.3333
2013-02-05,6.1538
2013-02-06,1.4493
2013-02-07,0.0
2013-02-08,-10.7143
2013-02-11,3.2
2013-02-12,-14.7287
2013-02-13,16.3636
2013-02-14,-3.125
2013-02-15,0.0
2013-02-19,-3.2258
2013-02-20,-2.6042
2013-02-21,-5.8824
2013-02-22,4.5455
2013-02-25,-4.3478
2013-02-26,-16.3636
2013-02-27,-1.2227999999999999
2013-02-28,-21.8707
2013-03-01,21.1268
2013-03-04,-0.1453
2013-03-05,-11.4993
2013-03-06,-1.4803
2013-03-07,-18.5309
2013-03-08,-9.8361
2013-03-11,7.2727
2013-03-12,-11.8644
2013-03-13,11.538499999999999
2013-03-14,-5.1724
2013-03-15,-9.0909
2013-03-18,10.0
2013-03-19,-9.0909
2013-03-20,10.0
2013-03-21,-9.0909
2013-03-22,18.0
2013-03-25,-6.9915
2013-03-26,0.2278
2013-03-27,-9.0909
2013-03-28,0.0
2013-04-01,6.0
2013-04-02,-5.6604
2013-04-03,-20.0
2013-04-04,0.0
2013-04-05,0.0
2013-04-08,24.6875
2013-04-09,-19.5489
2013-04-10,3.4268
2013-04-11,0.0
2013-04-12,25.3012
2013-04-15,5.7692
2013-04-16,-23.6364
2013-04-17,7.1429
