ticker,GLIBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-13,-1.5714000000000001
2018-03-14,-1.912
2018-03-15,-1.1544
2018-03-16,1.5699999999999998
2018-03-19,-1.131
2018-03-20,0.1144
2018-03-21,0.2095
2018-03-22,-1.2923
2018-03-23,-1.8868
2018-03-26,0.6672
2018-03-27,0.0585
2018-03-28,-0.1559
2018-03-29,3.1415
2018-04-02,-2.1188
2018-04-03,-0.1933
2018-04-04,0.0484
2018-04-05,1.7904
2018-04-06,-1.7494
2018-04-09,-0.1548
2018-04-10,-0.1357
2018-04-11,0.0
2018-04-12,-0.2523
2018-04-13,-0.6032
2018-04-16,1.6444999999999999
2018-04-17,0.0385
2018-04-18,1.444
2018-04-19,-1.822
2018-04-20,-0.5026
2018-04-23,0.0971
2018-04-24,-0.9899
2018-04-25,-0.7646
2018-04-26,-2.2126
2018-04-27,-10.3838
2018-04-30,0.541
2018-05-01,0.0448
2018-05-02,-2.0619
2018-05-03,0.7551
2018-05-04,1.7942
2018-05-07,1.2048
2018-05-08,-2.403
2018-05-09,-0.9487
2018-05-10,-1.3683
2018-05-11,-1.3873
2018-05-14,0.7972
2018-05-15,0.093
2018-05-16,1.2317
2018-05-17,-0.6428
2018-05-18,1.2939
2018-05-21,-0.5246
2018-05-22,-0.5503
2018-05-23,-0.6687
2018-05-24,-0.7196
2018-05-25,0.0701
2018-05-29,-1.4019
2018-05-30,-0.1896
2018-05-31,-0.7597
2018-06-01,-0.5981
2018-06-04,1.1312
2018-06-05,-0.7377
2018-06-06,2.4455
2018-06-07,1.4978
2018-06-08,-0.6226
2018-06-11,2.0418
2018-06-12,1.3188
2018-06-13,-2.5583
2018-06-14,3.1092
2018-06-15,0.4021
2018-06-18,0.4227
2018-06-19,-0.2437
2018-06-20,0.0888
2018-06-21,-1.0428
2018-06-22,3.0045
2018-06-25,-1.4802
2018-06-26,0.5966
2018-06-27,-1.3837
2018-06-28,0.5345
2018-06-29,-0.1329
2018-07-02,-0.3993
2018-07-03,0.5791
2018-07-05,1.7271999999999998
2018-07-06,2.438
2018-07-09,1.02
2018-07-10,0.2103
2018-07-11,-0.7137
2018-07-12,0.6554
2018-07-13,0.3571
2018-07-16,-0.9
2018-07-17,0.9715
2018-07-18,-0.6066
2018-07-19,-1.3047
2018-07-20,-0.4904
2018-07-23,-1.907
2018-07-24,-0.0655
2018-07-25,-1.7268
2018-07-26,2.8692
2018-07-27,0.2162
2018-07-30,0.3236
2018-07-31,3.4624
