ticker,IFXY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-14,640.0
2008-01-15,2.7027
2008-01-16,-34.2105
2008-01-17,20.0
2008-01-18,0.0
2008-01-22,-16.6667
2008-01-23,-56.0
2008-01-24,0.0
2008-01-25,36.3636
2008-01-28,0.0
2008-01-30,-6.6667
2008-01-31,42.8571
2008-02-01,-25.0
2008-02-04,0.0
2008-02-05,-26.6667
2008-02-06,581.8182
2008-02-07,-80.0
2008-02-08,0.0
2008-02-11,-33.3333
2008-02-12,0.0
2008-02-13,-10.0
2008-02-14,-11.1111
2008-02-15,-12.5
2008-02-19,-21.4286
2008-02-20,0.0
2008-02-21,0.0
2008-02-22,0.0
2008-02-25,18.1818
2008-02-26,-15.3846
2008-02-27,0.0
2008-02-28,18.1818
2008-02-29,-7.6923
2008-03-03,0.0
2008-03-04,-8.3333
2008-03-06,-9.0909
2008-03-07,0.0
2008-03-10,4.0
2008-03-11,-3.8462
2008-03-12,20.0
2008-03-13,-16.6667
2008-03-14,-6.0
2008-03-17,0.0
2008-03-18,-4.2553
2008-03-19,-11.1111
2008-03-20,12.5
2008-03-24,-2.2222
2008-03-25,2.2727
2008-03-26,-11.1111
2008-03-27,12.5
2008-03-28,-11.1111
2008-03-31,0.0
2008-04-01,0.0
2008-04-02,-5.0
2008-04-03,0.0
2008-04-04,-5.2632
2008-04-07,-2.7778
2008-04-08,8.5714
2008-04-09,-7.8947
2008-04-10,-2.8571
2008-04-11,0.0
2008-04-14,0.0
2008-04-15,-5.8824
2008-04-16,-21.875
2008-04-17,-0.5
2008-04-21,0.5025
2008-04-22,20.0
2008-04-23,0.0
2008-04-24,-20.0
2008-04-25,-16.6667
2008-04-28,0.0
2008-04-29,-5.0
2008-04-30,0.0
2008-05-01,5.2632
2008-05-02,12.5
2008-05-05,-2.2222
2008-05-06,-9.0909
2008-05-07,-5.0
2008-05-08,-10.526299999999999
2008-05-09,5.8824
2008-05-12,5.5556
2008-05-13,-31.5789
2008-05-14,23.0769
2008-05-15,0.0
2008-05-16,-25.0
2008-05-19,-16.6667
2008-05-20,50.0
2008-05-21,-20.0
2008-05-22,16.6667
2008-05-23,0.0
2008-05-27,-7.1429
2008-05-28,-23.0769
2008-05-29,0.0
2008-05-30,-10.0
2008-06-02,-11.1111
2008-06-03,25.0
2008-06-04,-10.0
2008-06-05,0.0
2008-06-09,11.1111
2008-06-10,20.0
2008-06-11,-16.6667
2008-06-17,0.0
2008-06-18,-2.5
2008-06-19,-23.0769
