ticker,PE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-23,20.0
2014-05-27,2.1622
2014-05-28,2.866
2014-05-29,2.4003
2014-05-30,-0.5023
2014-06-02,2.3138
2014-06-03,1.6859
2014-06-04,0.4044
2014-06-05,1.329
2014-06-06,-0.6359
2014-06-09,-1.08
2014-06-10,0.1213
2014-06-11,0.8078
2014-06-12,0.1202
2014-06-13,-1.5606
2014-06-16,-3.9837
2014-06-17,-4.3607
2014-06-18,2.3462
2014-06-19,1.8166
2014-06-20,-1.3169
2014-06-23,-2.3246
2014-06-24,-2.5562
2014-06-25,4.4776
2014-06-26,3.5498
2014-06-27,-0.7943
2014-06-30,1.4328
2014-07-01,-2.8251
2014-07-02,-1.1543
2014-07-03,-2.1626
2014-07-07,1.4588999999999999
2014-07-08,2.0915
2014-07-09,1.4938
2014-07-10,-0.1682
2014-07-11,-2.2325
2014-07-14,-0.0862
2014-07-15,-2.5011
2014-07-16,0.4423
2014-07-17,2.8181000000000003
2014-07-18,-0.257
2014-07-21,2.4045
2014-07-22,-0.1677
2014-07-23,0.588
2014-07-24,-0.5846
2014-07-25,-2.1
2014-07-28,0.3003
2014-07-29,2.053
2014-07-30,-2.3051
2014-07-31,-3.1746
2014-08-01,-4.5193
2014-08-04,3.0626
2014-08-05,-1.3507
2014-08-06,-0.6846
2014-08-07,-1.5625
2014-08-08,-1.2605
2014-08-11,5.0591
2014-08-12,-1.1251
2014-08-13,-4.5972
2014-08-14,-5.105
2014-08-15,2.7149
2014-08-18,2.5453
2014-08-19,-3.0072
2014-08-20,0.0984
2014-08-21,-1.2783
2014-08-22,-0.2988
2014-08-25,0.6993
2014-08-26,4.1171
2014-08-27,-0.2859
2014-08-28,2.9623
2014-08-29,1.7168999999999999
2014-09-02,0.0456
2014-09-03,-1.596
2014-09-04,-3.4754
2014-09-05,0.5761
2014-09-08,-1.1933
2014-09-09,0.3865
2014-09-10,-0.7218
2014-09-11,0.6302
2014-09-12,-1.2042
2014-09-15,0.8776
2014-09-16,2.465
2014-09-17,0.3774
2014-09-18,-1.3158
2014-09-19,-1.2381
2014-09-22,-2.3144
2014-09-23,0.7404
2014-09-24,1.2248999999999999
2014-09-25,-1.6457000000000002
2014-09-26,0.935
2014-09-29,4.1931
2014-09-30,-0.1872
2014-10-01,-1.4064999999999999
2014-10-02,-3.2335
2014-10-03,-5.1597
2014-10-06,0.9326
2014-10-07,-1.0267
2014-10-08,2.6452
2014-10-09,-4.6488
2014-10-10,-0.9539
