ticker,SBPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-09,-2.1622
2016-05-10,-1.4733
2016-05-11,-0.9346
2016-05-12,2.3585
2016-05-13,-1.8433000000000002
2016-05-16,2.0657
2016-05-17,-1.2879
2016-05-18,1.1184
2016-05-19,1.106
2016-05-20,-0.1823
2016-05-23,-2.8311
2016-05-24,3.2895
2016-05-25,2.0018
2016-05-26,-3.2114
2016-05-27,3.6866
2016-05-31,-0.2667
2016-06-01,-4.0998
2016-06-02,0.9294
2016-06-03,3.1308
2016-06-06,-1.7856999999999998
2016-06-07,-0.7273
2016-06-08,-0.1832
2016-06-09,5.5046
2016-06-10,-4.513
2016-06-13,-0.7376
2016-06-14,4.4037
2016-06-15,-4.833
2016-06-16,-3.2318
2016-06-17,-1.2405
2016-06-20,4.1546
2016-06-21,-1.9481000000000002
2016-06-22,-0.6623
2016-06-23,-1.1429
2016-06-24,-5.106
2016-06-27,-3.5533
2016-06-28,-2.1053
2016-06-29,0.5376
2016-06-30,1.0695000000000001
2016-07-01,-1.5873
2016-07-05,0.4368
2016-07-06,-0.649
2016-07-07,-3.9871
2016-07-08,-10.2132
2016-07-11,11.875
2016-07-12,0.5587
2016-07-13,0.0
2016-07-14,-9.6667
2016-07-15,0.695
2016-07-18,-2.2904
2016-07-19,0.0125
2016-07-20,5.0
2016-07-21,0.0
2016-07-22,5.3571
2016-07-25,1.6949
2016-07-26,-5.2222
2016-07-27,1.4068
2016-07-28,4.591
2016-07-29,9.3054
2016-08-01,-5.855
2016-08-02,-5.3706
2016-08-03,8.8798
2016-08-04,6.9607
2016-08-05,4.9708
2016-08-08,0.2786
2016-08-09,-0.2685
2016-08-10,1.3833
2016-08-11,-1.1905000000000001
2016-08-12,4.9751
2016-08-15,-0.6781
2016-08-16,-2.2222
2016-08-17,0.0909
2016-08-18,0.0908
2016-08-19,1.6334
2016-08-22,2.5463
2016-08-23,-0.0452
2016-08-24,3.419
2016-08-25,7.4753
2016-08-26,-2.0376
2016-08-29,-0.079
2016-08-30,2.0006
2016-08-31,-5.416
2016-09-01,2.9243
2016-09-02,-5.6632
2016-09-06,8.7179
2016-09-07,-4.4811
2016-09-08,2.6337
2016-09-09,0.2406
2016-09-12,-3.2
2016-09-13,4.0496
2016-09-14,2.1446
2016-09-15,0.311
2016-09-16,-5.2713
2016-09-19,-2.2095
2016-09-20,-1.2551999999999999
2016-09-21,1.6949
2016-09-22,-2.9167
2016-09-23,9.0129
2016-09-26,2.126
