ticker,ABILF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-06,-1.2
2014-02-07,-1.0121
2014-02-10,-1.3292
2014-02-11,-1.1399
2014-02-12,0.1048
2014-02-13,0.0
2014-02-14,-0.1047
2014-02-18,0.1048
2014-02-19,0.733
2014-02-20,-0.3119
2014-02-21,0.5214
2014-02-24,-0.4149
2014-02-25,0.2083
2014-02-26,0.2079
2014-02-27,-0.1037
2014-02-28,0.4154
2014-03-03,-0.5171
2014-03-04,0.0
2014-03-07,0.7277
2014-03-10,-0.7224
2014-03-11,0.0
2014-03-12,0.3119
2014-03-13,-0.1036
2014-03-14,-0.1037
2014-03-17,0.1038
2014-03-18,-0.2075
2014-03-19,0.2079
2014-03-20,0.5187
2014-03-21,-0.2064
2014-03-24,-0.5171
2014-03-25,0.2079
2014-03-27,-0.1037
2014-04-01,0.8307
2014-04-02,0.0
2014-04-03,-0.5149
2014-04-04,-0.207
2014-04-07,0.5187
2014-04-08,-0.516
2014-04-09,0.2075
2014-04-10,-0.1035
2014-04-11,-0.1036
2014-04-14,0.0
2014-04-15,-0.1037
2014-04-16,0.0
2014-04-17,0.1038
2014-04-21,0.1037
2014-04-22,-0.1036
2014-04-24,0.0
2014-04-25,0.8299
2014-04-28,-0.2058
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,0.6186
2014-05-02,0.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,-0.4098
2014-05-12,0.5144
2014-05-13,-1.2282
2014-05-14,1.4508
2014-05-15,-1.5322
2014-05-16,1.0373
2014-05-19,0.0
2014-05-20,-0.4107
2014-05-21,0.5155
2014-05-22,0.1026
2014-05-23,0.1025
2014-05-27,0.1024
2014-05-28,-0.1022
2014-05-29,0.0
2014-05-30,0.0
2014-06-02,-1.1259000000000001
2014-06-04,0.9317
2014-06-05,-0.3077
2014-06-06,-0.2058
2014-06-09,0.5155
2014-06-10,0.0
2014-06-12,0.0
2014-06-13,0.0
2014-06-23,0.0
2014-06-24,0.1026
2014-06-25,-0.1025
2014-06-26,0.1026
2014-06-27,0.3074
2014-06-30,-0.3064
2014-07-07,0.0
2014-07-15,0.2049
2014-07-18,-0.3067
2014-07-22,0.3077
2014-07-23,0.1022
2014-08-01,0.2043
2014-08-05,-0.5097
2014-08-08,0.5635
2014-08-11,-0.6623
2014-08-28,0.4103
2014-09-02,-0.4086
2014-09-05,0.4103
2014-09-08,0.2043
2014-09-12,-0.2039
2014-09-17,0.3064
2014-09-19,-0.7128
