ticker,CLPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-24,4.9524
2018-05-25,-1.9964
2018-05-29,-6.6667
2018-05-30,-0.7937
2018-05-31,2.8
2018-06-01,2.1401
2018-06-04,-2.8571
2018-06-05,-2.9412000000000003
2018-06-06,3.0303
2018-06-07,-3.5294
2018-06-08,5.6911000000000005
2018-06-11,-0.9615
2018-06-12,-2.1437
2018-06-13,0.9525
2018-06-14,19.8994
2018-06-15,45.9016
2018-06-18,21.3483
2018-06-19,-0.3704
2018-06-20,56.1338
2018-06-21,-21.9643
2018-06-22,1.6018
2018-06-25,-12.3874
2018-06-26,15.8526
2018-06-27,-2.7367
2018-06-28,2.1293
2018-06-29,-3.5741
2018-07-02,0.5405
2018-07-03,-2.6114
2018-07-05,-13.0915
2018-07-06,-1.4519
2018-07-09,1.7495
2018-07-10,19.8643
2018-07-11,-5.5493
2018-07-12,-2.3181
2018-07-13,16.9394
2018-07-16,-3.7789
2018-07-17,5.3818
2018-07-18,-1.9324
2018-07-19,2.9557
2018-07-20,-2.1189
2018-07-23,1.2570000000000001
2018-07-24,-1.8276
2018-07-25,4.8121
2018-07-26,0.8043
2018-07-27,-0.5984
2018-07-30,1.6722000000000001
2018-07-31,1.5131999999999999
2018-08-01,-2.5275
2018-08-02,-6.383
2018-08-03,-12.0028
2018-08-06,2.9863
2018-08-07,11.2853
2018-08-08,-0.7746
2018-08-09,-0.2839
2018-08-10,0.8541
2018-08-13,0.247
2018-08-14,-2.0063
2018-08-15,-5.1724
2018-08-16,1.5909
2018-08-17,-4.4743
2018-08-20,6.5574
2018-08-21,-1.5751
2018-08-22,3.6844
2018-08-23,-0.6461
2018-08-24,-0.1445
2018-08-27,1.7366000000000001
2018-08-28,-1.0669
2018-08-29,0.647
2018-08-30,0.2857
2018-08-31,-1.4245
2018-09-04,3.8295
2018-09-05,1.2526
2018-09-06,-2.4055
2018-09-07,-1.338
2018-09-10,0.0714
2018-09-11,-4.4223
2018-09-12,1.4925
2018-09-13,-1.7647
2018-09-14,0.6737
2018-09-17,1.7844
2018-09-18,-3.5793
2018-09-19,3.7879
2018-09-20,-3.7956
2018-09-21,0.3794
2018-09-24,-0.7559
2018-09-25,-1.4471
2018-09-26,-2.2473
2018-09-27,-2.6816
2018-09-28,-11.8603
2018-10-01,-8.2028
2018-10-02,-5.6225000000000005
2018-10-03,1.0638
2018-10-04,-0.3158
2018-10-05,-2.3231
2018-10-08,-5.5135
2018-10-09,0.6865
