ticker,SYUP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-07-21,0.0
2005-07-29,60.0
2005-08-01,-6.25
2005-08-02,-30.6667
2005-08-16,25.0
2005-08-18,-7.6923
2005-08-23,16.6667
2005-08-25,-14.2857
2005-08-29,-16.6667
2005-08-31,20.0
2005-09-02,0.0
2005-09-08,25.0
2005-09-09,0.0
2005-09-12,-33.3333
2005-09-13,30.0
2005-09-15,15.3846
2005-09-26,0.0
2005-09-27,0.0
2005-10-12,0.0
2005-10-19,-6.6667
2005-11-17,57.1429
2005-11-22,-4.5455
2005-11-25,23.8095
2005-11-28,-19.2308
2005-11-29,42.8571
2005-12-16,-30.0
2005-12-21,42.8571
2006-02-24,-10.0
2006-03-03,29.6296
2006-03-13,-22.8571
2006-03-21,29.6296
2006-04-06,-22.8571
2006-06-12,-3.7037
2006-07-12,0.0
2006-07-24,-19.2308
2006-07-27,-28.5714
2006-07-28,40.0
2006-08-04,33.3333
2006-08-08,-3.5714
2006-09-05,0.0
2006-09-07,-3.7037
2006-09-19,0.0
2006-10-16,-23.0769
2006-10-17,-55.0
2006-10-18,144.4444
2006-11-01,4.5455
2006-11-02,-4.3478
2006-11-17,0.0
2006-12-11,0.0
2007-01-29,-4.5455
2007-02-05,-76.1905
2007-02-06,300.0
2007-02-09,0.0
2007-02-16,-5.0
2007-03-01,5.2632
2007-05-21,-30.0
2007-05-24,0.0
2007-07-13,-78.5714
2007-07-16,300.0
2007-08-17,-75.0
2007-08-20,200.0
2007-08-21,0.0
2007-08-23,0.0
2007-08-24,0.0
2007-08-27,0.0
2007-08-28,0.0
2007-08-29,0.0
2007-08-30,55.5556
2007-08-31,-21.4286
2007-09-04,0.0
2007-09-05,0.0
2007-09-06,0.0
2007-09-07,0.0
2007-09-10,0.0
2007-09-11,0.0
2007-09-12,0.0
2007-09-13,0.0
2007-09-14,0.0
2007-09-17,0.0
2007-09-18,0.0
2007-09-19,18.1818
2007-09-20,-21.5385
2007-09-21,0.0
2007-09-24,0.0
2007-09-25,0.0
2007-09-26,0.0
2007-09-27,0.0
2007-09-28,0.0
2007-10-01,0.0
2007-10-02,0.0
2007-10-03,0.0
2007-10-04,0.0
2007-10-05,0.0
2007-10-08,0.0
2007-10-09,0.0
2007-10-10,0.0
2007-10-11,0.0
2007-10-12,0.0
2007-10-15,0.0
2007-10-16,0.0
2007-10-17,0.0
2007-10-18,0.0
2007-10-19,0.0
2007-10-22,-21.5686
2007-10-23,12.5
2007-10-24,13.3333
