ticker,BGES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-07,38.8889
2005-11-08,16.0
2005-11-09,10.3448
2005-11-10,6.25
2005-11-11,32.3529
2005-11-14,-2.2222
2005-11-15,0.0
2005-11-16,-11.3636
2005-11-17,2.5641
2005-11-18,-20.0
2005-11-21,18.75
2005-11-22,-7.8947
2005-11-23,11.4286
2005-11-25,-2.5641
2005-11-28,5.2632
2005-11-29,7.5
2005-11-30,-9.3023
2005-12-01,2.5641
2005-12-02,-0.5
2005-12-05,0.0
2005-12-06,0.5025
2005-12-07,-5.0
2005-12-08,-13.1579
2005-12-09,18.1818
2005-12-12,0.0
2005-12-13,0.0
2005-12-14,0.0
2005-12-15,0.0
2005-12-16,2.0513
2005-12-19,0.5025
2005-12-20,0.0
2005-12-21,0.0
2005-12-22,-2.5
2005-12-23,0.0
2005-12-27,0.0
2005-12-28,2.0513
2005-12-29,0.0
2005-12-30,0.0
2006-01-03,0.0
2006-01-04,0.0
2006-01-05,0.0
2006-01-06,2.5126
2006-01-09,-0.4902
2006-01-10,-2.9557
2006-01-11,0.0
2006-01-12,-1.0152
2006-01-13,-1.5385
2006-01-17,0.5208
2006-01-18,0.5181
2006-01-19,0.0
2006-01-20,0.0
2006-01-23,0.0
2006-01-24,0.0
2006-01-27,0.0
2006-01-30,0.0
2006-01-31,0.0
2006-02-01,-2.5773
2006-02-02,-4.7619
2006-02-03,9.4444
2006-02-06,0.0
2006-02-07,1.5228000000000002
2006-02-08,-3.0
2006-02-09,-7.2165
2006-02-13,0.0
2006-02-15,0.0
2006-02-16,0.0
2006-02-17,0.0
2006-02-21,0.0
2006-02-22,0.0
2006-02-23,-5.5556
2006-02-24,5.8824
2006-02-27,0.0
2006-03-01,0.0
2006-03-02,0.0
2006-03-03,0.0
2006-03-08,0.0
2006-03-10,0.0
2006-03-13,-2.7778
2006-03-14,2.8571
2006-03-15,9.4444
2006-03-16,12.6904
2006-03-17,0.0
2006-03-20,1.3514
2006-03-21,0.0
2006-03-23,-4.4444
2006-03-24,4.6512
2006-03-27,4.4444
2006-03-28,0.0
2006-03-31,0.0
2006-04-03,-8.5106
2006-04-04,6.0465
2006-04-05,-5.7018
2006-04-06,0.0
2006-04-07,0.0
2006-04-10,1.3953
2006-04-12,0.9174
2006-04-13,2.2727
2006-04-18,-8.8889
2006-04-19,9.7561
2006-04-24,0.0
2006-04-25,-6.6667
2006-04-26,3.8095
2006-05-02,3.211
2006-05-03,-6.6667
2006-05-05,0.0
