ticker,SFM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-01,122.8333
2013-08-02,-0.3241
2013-08-05,2.8764
2013-08-06,-3.3066
2013-08-07,-1.1818
2013-08-08,-0.4835
2013-08-09,-0.6904
2013-08-12,-3.1926
2013-08-13,0.7713
2013-08-14,2.6656
2013-08-15,0.6941
2013-08-16,0.434
2013-08-19,-2.4911
2013-08-20,-0.1825
2013-08-21,-2.7945
2013-08-22,3.6808
2013-08-23,1.2179
2013-08-26,-0.1792
2013-08-27,-2.8468999999999998
2013-08-28,-1.0824
2013-08-29,-0.2402
2013-08-30,-1.1236
2013-09-03,-0.5682
2013-09-04,0.1361
2013-09-05,0.1902
2013-09-06,5.3431
2013-09-09,0.4892
2013-09-10,-2.0651
2013-09-11,-0.0366
2013-09-12,1.073
2013-09-13,0.6991
2013-09-16,1.3885
2013-09-17,0.3297
2013-09-18,2.5278
2013-09-19,3.2051
2013-09-20,2.6995
2013-09-23,3.6055
2013-09-24,1.8815
2013-09-25,-2.5299
2013-09-26,1.4018
2013-09-27,0.7135
2013-09-30,-1.7268
2013-10-01,1.2389999999999999
2013-10-02,3.1375
2013-10-03,-0.712
2013-10-04,4.5632
2013-10-07,-5.0499
2013-10-08,-6.2377
2013-10-09,4.5518
2013-10-10,3.7732
2013-10-11,-0.6024
2013-10-14,0.4329
2013-10-15,0.0431
2013-10-16,1.2495
2013-10-17,1.0
2013-10-18,1.3272
2013-10-21,2.0998
2013-10-22,-3.2173
2013-10-23,-2.7561999999999998
2013-10-24,0.8654
2013-10-25,-0.0858
2013-10-28,2.061
2013-10-29,-1.9773
2013-10-30,-0.6438
2013-10-31,-0.5184
2013-11-01,-1.5632000000000001
2013-11-04,3.4407
2013-11-05,1.1727
2013-11-06,1.2434
2013-11-07,-3.0391
2013-11-08,-1.9106999999999998
2013-11-11,-1.2038
2013-11-12,-1.0412
2013-11-13,-0.0224
2013-11-14,-2.2615
2013-11-15,-1.3746
2013-11-18,-5.7143
2013-11-19,-2.2912
2013-11-20,-3.7317
2013-11-21,0.3405
2013-11-22,-1.1746
2013-11-25,-0.898
2013-11-26,1.2793
2013-11-27,0.2632
2013-11-29,-0.6824
2013-12-02,0.9514
2013-12-03,0.2618
2013-12-04,0.0
2013-12-05,-1.8799000000000001
2013-12-06,0.7185
2013-12-09,-0.9511
2013-12-10,-2.374
2013-12-11,0.7923
2013-12-12,-0.8946
2013-12-13,-0.7385
2013-12-16,-0.7716
2013-12-17,2.9159
