ticker,CRSWF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-09,0.2956
2015-07-22,-22.768
2015-07-23,18.9333
2015-08-24,-16.1169
2015-11-04,11.7075
2015-11-11,-0.7747
2015-12-09,-3.5404
2016-01-15,-14.65
2016-01-19,0.1757
2016-02-01,-16.9591
2016-02-03,24.6479
2016-02-05,-0.3584
2016-02-08,0.3597
2016-08-02,0.0
2016-08-03,0.0
2016-08-23,-37.4347
2016-09-01,0.2342
2016-09-09,0.0
2016-09-26,0.4505
2016-10-04,-0.4484
2016-10-05,0.0
2016-11-07,-0.3069
2016-11-16,-0.144
2016-11-18,-0.263
2016-11-22,1.4886
2016-11-29,-1.207
2016-12-05,-0.7466
2016-12-14,0.8719
2016-12-30,-7.3499
2017-01-10,0.0
2017-01-24,7.4543
2017-02-28,-17.3817
2017-03-01,-10.1992
2017-03-02,-7.643
2017-03-03,-12.0486
2017-03-24,-0.4803
2017-03-27,0.4959
2017-03-30,19.1908
2017-03-31,1.1315
2017-04-04,-1.4245
2017-04-06,-6.3452
2017-04-20,-1.1706
2017-05-03,5.282
2017-05-04,-7.7727
2017-05-12,-0.4436
2017-05-16,-5.8045
2017-06-06,5.111
2017-06-13,-0.72
2017-06-14,-0.0806
2017-06-15,0.8065
2017-06-27,4.88
2017-06-28,2.0214
2017-07-05,4.6729
2017-07-18,-10.7143
2017-09-20,-2.0
2017-09-21,1.4082
2017-10-10,-8.4323
2017-10-23,6.3736
2017-11-28,11.5702
2017-11-29,-0.5556
2017-12-01,-8.9385
2017-12-11,4.6933
2017-12-19,22.0822
2018-01-12,12.0
2018-02-22,3.5714
2018-02-28,3.3517
2018-04-26,-1.2412
2018-04-27,0.0
2018-04-30,0.0507
2018-05-02,-0.0507
2018-05-03,0.0
2018-05-16,4.0135
2018-06-07,-1.4811
2018-06-22,-0.5209
2018-06-26,-0.4938
2018-06-27,3.2473
2018-06-28,0.0
2018-07-02,0.0
2018-08-16,-12.9032
2018-08-30,3.0733
2018-09-26,3.3173
2018-10-02,-1.8676
2018-10-03,-0.0163
2018-10-10,-1.1853
2018-10-12,-0.2762
2018-10-18,0.023
2018-10-22,2.854
2018-10-31,106.3145
2018-11-01,614.2857
2018-11-16,-85.87
2018-11-21,8.988
2019-04-24,-46.7532
2019-04-30,70.7317
2019-05-17,-41.4286
2019-05-23,0.0
2019-05-28,0.0
2019-05-30,3.6585
2019-06-06,5.8824
2019-07-23,0.0
2019-08-06,0.0
2019-09-06,0.0
2019-09-12,0.1111
2019-09-17,-0.111
2019-10-01,0.0
2019-10-18,0.0
2019-11-13,-5.5556
2019-11-20,17.647100000000002
2019-12-24,-60.0
2019-12-26,0.0
2019-12-27,25.0
2020-01-22,0.0
2020-02-04,-0.3
2020-05-05,-79.9398
2020-06-30,0.0
