ticker,BYDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-14,-73.5294
2006-09-15,11.1111
2006-09-19,-5.0
2006-09-20,-15.7895
2006-09-21,0.0
2006-09-22,3.125
2006-09-26,0.6061
2006-09-29,20.4819
2006-10-04,-10.0
2006-10-16,11.1111
2006-10-19,0.0
2006-10-27,-13.0
2006-10-31,0.5747
2006-11-08,0.0
2006-11-10,-2.8571
2006-11-13,0.0
2006-11-14,17.647100000000002
2006-12-04,-15.0
2006-12-08,1.7647
2006-12-21,-1.7341
2006-12-27,0.0
2007-01-05,0.0
2007-01-10,2.9412000000000003
2007-01-19,0.0
2007-01-25,0.0
2007-02-02,1.1429
2007-02-06,-3.3898
2007-02-09,-6.4327
2007-02-15,0.0
2007-02-21,0.0
2007-02-26,-6.25
2007-03-06,-33.3333
2007-03-07,5.0
2007-03-27,42.8571
2007-03-30,6.6667
2007-04-10,-37.5
2007-04-11,0.0
2007-05-22,0.0
2007-05-23,-40.0
2007-05-24,0.0
2007-06-01,-66.6667
2007-06-27,100.0
2007-06-29,25.0
2007-07-31,0.0
2007-08-06,2.0
2007-08-20,0.0
2007-11-20,-1.9607999999999999
2007-11-21,0.0
2007-11-27,0.0
2007-11-28,0.0
2007-11-30,0.0
2007-12-05,-20.0
2007-12-21,-47.5
2007-12-26,88.5714
2007-12-31,-4.0404
2008-01-08,-21.0526
2008-01-16,0.0
2008-01-29,0.0
2008-01-30,0.0
2008-02-05,0.0
2008-02-12,3.3333
2008-02-29,-19.3548
2008-03-11,0.8
2008-05-12,-0.7937
2008-05-14,0.0
2008-05-21,-40.0
2008-05-22,80.0
2008-05-28,0.0
2008-06-26,0.0
2008-09-11,-59.2593
2008-10-13,-9.0909
2008-10-16,0.0
2008-10-31,0.0
2008-11-06,500.0
2008-11-11,-83.3333
2008-11-14,0.0
2008-11-28,0.0
2009-02-03,-50.0
2009-03-06,660.0
2009-03-12,-40.7368
2009-05-14,-77.7975
2009-06-08,900.0
2009-06-26,-90.0
2009-07-23,0.0
2009-07-30,0.0
2009-09-09,4.0
2009-09-25,573.0769
2009-10-08,-85.7143
2009-12-15,4.0
2009-12-21,-3.8462
2009-12-28,0.0
2010-03-10,4.0
2010-03-15,0.0
2010-06-23,0.0
2010-07-02,0.0
2010-07-06,0.0
2010-07-16,0.0
2010-07-28,0.0
2010-08-26,15.3846
2010-12-03,-16.6667
2010-12-06,-80.0
2010-12-15,0.0
2010-12-16,0.0
2010-12-29,20.0
2011-01-03,483.3333
2011-01-07,-85.7143
2011-04-07,-90.0
2011-11-07,900.0
2012-05-31,-90.0
2012-07-02,20.0
2012-11-14,-97.9167
2017-03-09,700.0
2017-11-10,0.0
2017-12-29,-90.0
2018-01-23,-90.0
2018-09-17,0.0
2019-04-04,0.0
2019-12-10,900.0
