ticker,AJIA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-07,0.0
2018-02-09,0.0
2018-03-02,-58.5
2018-04-13,-20.4819
2018-05-23,-1.5152
2018-06-12,4.6154
2018-06-26,2.9412000000000003
2018-06-27,2.8571
2018-06-28,4.1667
2018-07-03,-33.3333
2018-07-13,34.0
2018-07-17,-0.7463
2018-07-23,0.7519
2018-07-27,0.0
2018-09-17,49.2537
2018-09-24,0.0
2018-09-28,30.0
2018-10-05,-53.8462
2018-10-08,0.0
2018-10-19,-16.6667
2018-11-12,0.0
2018-11-13,40.0
2018-11-26,-53.5714
2018-12-03,84.3077
2018-12-07,-8.1803
2018-12-14,-9.0909
2018-12-27,0.0
2018-12-28,-30.0
2019-01-24,-35.7143
2019-02-14,50.6667
2019-02-27,70.7965
2019-03-01,-39.5509
2019-03-08,-14.2857
2019-05-13,-16.6667
2019-05-16,-50.0
2019-06-17,-19.2
2019-06-18,0.0
2019-06-19,-20.7921
2019-06-20,0.0
2019-06-24,-25.0
2019-06-25,-6.6667
2019-06-26,-13.392900000000001
2019-06-27,-21.6495
2019-06-28,-71.0526
2019-07-01,9.0909
2019-07-02,-16.6667
2019-09-24,0.0
2019-09-25,50.0
2019-10-03,13.3333
2019-10-04,-11.7647
2019-10-07,-33.3333
2019-10-08,40.0
2019-10-09,42.8571
2019-10-10,50.0
2019-10-11,566.6667
2019-10-14,-39.5
2019-10-15,61.157
2019-10-21,-12.8205
2019-10-25,10.2941
2019-10-28,17.3333
2019-11-01,-14.5455
2019-11-06,-46.8085
2019-11-07,20.0
2019-11-08,25.0
2019-11-11,40.0
2019-11-12,28.5714
2019-11-14,7.4074
2019-11-15,6.8966
2019-11-18,-3.2258
2019-11-19,-0.3333
2019-11-20,0.3344
2019-12-05,-66.6667
2019-12-17,101.0
2019-12-18,19.403
2019-12-19,35.4167
2019-12-24,-1.8462
2019-12-26,-21.6301
2020-01-07,20.0
2020-02-20,-63.3333
2020-03-05,-8.1818
2020-03-23,-20.7921
2020-03-27,25.0
2020-03-30,150.0
2020-03-31,-60.0
2020-04-03,50.0
2020-04-13,-50.0
2020-04-14,33.3333
2020-04-15,25.0
2020-04-16,4.0
2020-04-21,7.6923
2020-04-22,-7.1429
2020-04-23,7.6923
2020-05-05,0.0
2020-05-07,-13.5714
2020-05-12,-0.8264
2020-05-18,-8.3333
2020-05-22,-30.9091
2020-05-27,0.0
2020-07-02,-7.8947
2020-07-07,-1.4285999999999999
2020-07-08,8.6957
2020-07-10,-19.9867
2020-07-14,0.0
2020-07-20,-8.3486
