ticker,CHMG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-05,0.0
2000-01-07,-1.0256
2000-01-10,0.0
2000-01-14,0.0
2000-01-18,0.5181
2000-01-21,-0.5155
2000-01-24,-0.5181
2000-01-25,2.0833
2000-01-26,-1.5306
2000-01-28,0.0
2000-01-31,-0.5181
2000-02-01,0.0
2000-02-02,0.0
2000-02-03,0.5208
2000-02-04,-0.5181
2000-02-08,0.0
2000-02-10,0.0
2000-02-11,0.5208
2000-02-14,-3.6269
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,-1.0753
2000-02-18,0.0
2000-02-28,-2.1739
2000-02-29,-5.5556
2000-03-02,-5.8824
2000-03-03,-2.5
2000-03-06,-7.6923
2000-03-07,5.5556
2000-03-09,0.0
2000-03-13,0.0
2000-03-16,0.0
2000-03-17,2.4211
2000-03-22,0.0
2000-03-24,3.8961
2000-03-27,-2.5
2000-03-29,0.0
2000-03-30,-1.2821
2000-04-03,0.0
2000-04-05,9.0909
2000-04-06,-7.1429
2000-04-07,0.0
2000-04-10,0.0
2000-04-12,5.1282
2000-04-14,-2.439
2000-04-17,1.25
2000-04-18,-3.0864
2000-04-19,-3.1847
2000-04-25,0.0
2000-04-26,1.3158
2000-04-27,0.0
2000-04-28,5.1948
2000-05-01,-1.2346
2000-05-02,3.75
2000-05-03,3.6145
2000-05-04,-11.6279
2000-05-09,3.9474
2000-05-11,-3.7975
2000-05-12,2.6316
2000-05-15,-1.2821
2000-05-17,2.5974
2000-05-19,1.2658
2000-05-23,2.5
2000-05-30,-4.878
2000-05-31,0.641
2000-06-01,1.9108
2000-06-05,-2.5
2000-06-08,0.0
2000-06-13,1.2821
2000-06-14,0.0
2000-06-15,0.6329
2000-06-16,-0.6289
2000-06-19,0.0
2000-06-21,1.6962000000000002
2000-06-23,-0.6289
2000-06-27,0.6329
2000-07-03,0.6289
2000-07-05,0.0
2000-07-11,0.0
2000-07-12,0.0
2000-07-13,-1.875
2000-07-14,-0.6369
2000-07-17,2.5641
2000-07-18,-1.875
2000-07-20,1.2739
2000-07-21,0.6289
2000-07-25,1.25
2000-07-26,0.0
2000-08-01,1.2346
2000-08-07,-6.0976
2000-08-08,-0.6494
2000-08-15,0.0
2000-08-16,4.5752
2000-08-21,-2.5
2000-08-23,-1.2821
2000-08-24,1.9481000000000002
2000-08-25,-1.9108
2000-08-28,1.2987
2000-08-29,0.3205
2000-08-30,2.8754
2000-08-31,-3.1056
2000-09-01,0.0
