ticker,TCHH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-01,17233.3316
2007-10-03,-23.0769
2007-10-08,24.0
2007-10-09,3.2258
2007-10-10,9.375
2007-10-11,0.0
2007-10-12,-7.1429
2007-10-15,-6.9231
2007-10-16,9.0909
2007-10-17,3.0303
2007-10-18,5.1471
2007-10-19,-1.3986
2007-10-22,-2.1277
2007-10-23,2.8986
2007-10-24,9.1549
2007-10-25,7.0968
2007-10-26,-3.6145
2007-10-29,3.75
2007-10-30,-10.241
2007-10-31,6.7114
2007-11-01,-0.6289
2007-11-02,0.0
2007-11-05,1.8987
2007-11-06,-2.4845
2007-11-07,0.6369
2007-11-08,0.0
2007-11-09,1.2658
2007-11-12,-1.875
2007-11-13,-1.2739
2007-11-14,0.0
2007-11-15,-14.1935
2007-11-16,-0.7519
2007-11-19,6.8182
2007-11-20,4.9645
2007-11-21,-2.7027
2007-11-23,2.7778
2007-11-26,2.027
2007-11-27,3.3113
2007-11-28,-5.1282
2007-11-29,2.7027
2007-11-30,-2.6316
2007-12-03,-16.8919
2007-12-04,-21.9512
2007-12-05,-28.125
2007-12-06,10.1449
2007-12-07,-1.3158
2007-12-10,-13.3333
2007-12-11,-4.6154
2007-12-12,-37.0968
2007-12-13,-7.6923
2007-12-14,2.7778
2007-12-17,-2.7027
2007-12-18,-4.1667
2007-12-19,-39.1304
2007-12-20,-28.5714
2007-12-21,-6.6667
2007-12-24,14.2857
2007-12-26,6.25
2007-12-27,-11.7647
2007-12-28,-3.3333
2007-12-31,27.5862
2008-01-02,29.7297
2008-01-03,33.3333
2008-01-04,12.5
2008-01-07,-13.8889
2008-01-08,-38.7097
2008-01-09,-5.2632
2008-01-10,2.7778
2008-01-11,2.7027
2008-01-14,-10.526299999999999
2008-01-15,-17.647100000000002
2008-01-16,0.0
2008-01-17,0.0
2008-01-18,0.0
2008-01-22,-10.7143
2008-01-23,-10.4
2008-01-24,-1.7856999999999998
2008-01-25,4.5455
2008-01-28,-8.6957
2008-01-29,-2.8571
2008-01-30,-6.8627
2008-01-31,10.526299999999999
2008-02-01,-16.1905
2008-02-04,25.0
2008-02-05,-21.8182
2008-02-06,39.5349
2008-02-07,-16.6667
2008-02-08,-1.0
2008-02-11,-19.1919
2008-02-12,-10.0
2008-02-13,-16.6667
2008-02-14,0.0
2008-02-15,-16.6667
2008-02-19,-40.0
2008-02-20,33.3333
2008-02-21,0.0
2008-02-22,-25.0
2008-02-25,-6.6667
2008-02-26,-28.5714
