ticker,IMRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-03-12,-6.25
2020-03-13,6.6667
2020-03-16,-3.125
2020-03-17,0.6452
2020-03-18,2.5641
2020-03-19,3.75
2020-03-20,-3.6145
2020-03-23,0.0
2020-03-24,0.75
2020-03-25,0.3722
2020-03-26,-1.1125
2020-03-27,-0.125
2020-03-30,0.1252
2020-03-31,0.1875
2020-04-01,-1.7467000000000001
2020-04-02,0.0
2020-04-03,0.0
2020-04-06,0.0
2020-04-07,1.5238
2020-04-08,0.1876
2020-04-09,-0.7491
2020-04-13,-1.2579
2020-04-14,-0.3185
2020-04-15,-0.3195
2020-04-16,2.5641
2020-04-17,-0.625
2020-04-20,0.9434
2020-04-21,-0.1869
2020-04-22,-0.1248
2020-04-23,0.9375
2020-04-24,-0.805
2020-04-27,8.9888
2020-04-28,1.0882
2020-04-29,-1.1898
2020-04-30,0.344
2020-05-01,-1.3143
2020-05-04,5.6167
2020-05-05,31.5789
2020-05-06,-5.8333
2020-05-07,-11.5044
2020-05-08,14.25
2020-05-11,9.0591
2020-05-12,-5.297
2020-05-13,-8.0085
2020-05-14,19.5302
2020-05-15,5.0096
2020-05-18,-3.4128
2020-05-19,2.4316
2020-05-20,-2.5593
2020-05-21,-1.9794
2020-05-22,4.7767
2020-05-26,3.7805999999999997
2020-05-27,3.9286
2020-05-28,13.2646
2020-05-29,1.608
2020-06-01,9.1968
2020-06-02,-0.1641
2020-06-03,22.98
2020-06-04,16.3697
2020-06-05,-9.818200000000001
2020-06-08,9.2954
2020-06-09,3.4757
2020-06-10,-8.613199999999999
2020-06-11,12.6694
2020-06-12,-16.6211
2020-06-15,-14.9508
2020-06-16,-2.3387000000000002
2020-06-17,11.9474
2020-06-18,-6.0414
2020-06-19,8.8566
2020-06-22,-5.9756
2020-06-23,-4.6688
2020-06-24,-6.0256
2020-06-25,0.6821
2020-06-26,-7.2358
2020-06-29,-16.7981
2020-06-30,-2.9846
2020-07-01,3.4383
2020-07-02,-0.4199
2020-07-06,-4.6732
2020-07-07,-4.9023
2020-07-08,-2.9457
2020-07-09,-8.0272
2020-07-10,8.337
2020-07-13,-11.4228
2020-07-14,-2.7602
2020-07-15,0.7911
2020-07-16,-0.1847
2020-07-17,-5.8279
2020-07-20,-4.1749
2020-07-21,-3.8954
2020-07-22,2.1333
2020-07-23,4.9608
2020-07-24,1.2438
2020-07-27,6.5356
2020-07-28,-7.1494
2020-07-29,-0.5961
2020-07-30,1.0995
2020-07-31,-0.1977
