ticker,NKE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.9004
2000-01-04,-5.4545
2000-01-05,5.7692
2000-01-06,-0.5195
2000-01-07,0.0
2000-01-10,1.6971
2000-01-11,5.0064
2000-01-12,-3.423
2000-01-13,1.2658
2000-01-14,2.625
2000-01-18,-1.3397999999999999
2000-01-19,4.321
2000-01-20,-2.3669000000000002
2000-01-21,-1.697
2000-01-24,-1.9729
2000-01-25,-1.6352
2000-01-26,1.2788
2000-01-27,-4.5455
2000-01-28,-0.7937
2000-01-31,-2.9333
2000-02-01,2.6099
2000-02-02,1.6064
2000-02-03,0.9223
2000-02-04,-2.4804
2000-02-07,-3.079
2000-02-08,-18.232
2000-02-09,-8.7838
2000-02-10,0.0
2000-02-11,0.7407
2000-02-14,-4.9632
2000-02-15,6.7698
2000-02-16,-14.4928
2000-02-17,-1.6949
2000-02-18,-3.4483
2000-02-22,-3.5714
2000-02-23,3.9352
2000-02-24,-3.5635
2000-02-25,-1.8476
2000-02-28,4.9412
2000-02-29,2.0179
2000-03-01,-1.0989
2000-03-02,4.6667
2000-03-03,-0.2123
2000-03-06,-2.9787
2000-03-07,-2.193
2000-03-08,-2.2422
2000-03-09,-1.8349
2000-03-10,0.4673
2000-03-13,6.9767
2000-03-14,0.4348
2000-03-15,14.2857
2000-03-16,8.697
2000-03-17,-4.8951
2000-03-20,-2.9412000000000003
2000-03-21,0.3788
2000-03-22,1.8868
2000-03-23,0.7407
2000-03-24,-0.3676
2000-03-27,6.0886
2000-03-28,2.4348
2000-03-29,5.9423
2000-03-30,-0.8013
2000-03-31,2.4233000000000002
2000-04-03,0.9464
2000-04-04,-2.6563
2000-04-05,0.6421
2000-04-06,6.0606
2000-04-07,3.3083
2000-04-10,0.1456
2000-04-11,4.9419
2000-04-12,-1.5234999999999999
2000-04-13,-1.1252
2000-04-14,-2.9872
2000-04-17,-1.4663
2000-04-18,0.8929
2000-04-19,3.9823
2000-04-20,-0.2837
2000-04-24,-1.7069999999999999
2000-04-25,5.644
2000-04-26,-3.8356
2000-04-27,-1.2821
2000-04-28,0.2886
2000-05-01,7.1942
2000-05-02,-2.8188
2000-05-03,-6.3536
2000-05-04,0.885
2000-05-05,0.0
2000-05-08,0.731
2000-05-09,0.2903
2000-05-10,-2.1708
2000-05-11,1.0355
2000-05-12,0.2928
2000-05-15,3.0657
2000-05-16,0.1416
2000-05-17,-6.5064
2000-05-18,-1.3616
2000-05-19,-1.8405
2000-05-22,-0.9375
