ticker,PORMF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-07,67.7419
2000-04-14,-40.3846
2000-05-24,0.0
2000-08-16,-51.6129
2001-01-16,0.0
2001-06-01,733.3333
2001-08-13,20.8
2002-03-15,-92.7152
2002-03-19,-9.0909
2002-12-03,144.5
2003-06-18,-1.8916
2003-10-21,53.3611
2004-03-26,107.1696
2004-04-05,8.4468
2004-04-06,1.1494
2005-03-18,-5.3678
2005-07-05,-22.2626
2005-10-07,13.8211
2006-03-28,-10.0
2006-03-29,0.0
2006-04-04,-15.8433
2006-05-24,3.7369
2006-05-31,-10.9091
2006-06-02,2.0408
2006-06-05,-2.0
2006-06-16,-3.0612
2006-08-30,3.5526
2006-09-05,-7.4968
2006-09-11,3.1044
2006-09-12,-1.7053
2006-10-19,17.5793
2006-10-20,13.2104
2006-11-02,-5.9974
2006-11-03,3.6395
2006-11-06,-16.388
2006-11-08,16.0
2006-12-18,-11.9828
2007-02-05,6.5989
2007-02-07,2.9631
2007-02-21,-2.7328
2007-02-23,12.6835
2007-03-15,1.669
2007-03-28,11.4114
2007-04-09,-0.1168
2007-04-19,22.3352
2007-05-01,-13.1029
2007-05-07,-5.2293
2007-05-09,-4.0
2007-05-10,-0.4464
2007-05-11,-1.3453
2007-05-18,8.7405
2007-05-25,-5.8957
2007-07-18,1.4251
2007-07-31,-14.042
2007-08-13,6.9101
2007-08-14,5.0635
2007-08-28,-30.6275
2007-09-20,30.7724
2007-09-28,-0.8333
2007-10-03,8.5399
2007-10-18,-8.7971
2007-10-26,-4.6689
2007-11-06,21.1042
2007-11-08,-7.261
2008-01-02,-4.0634
2008-01-03,7.438
2008-01-18,-18.4615
2008-02-06,13.6203
2008-02-19,18.3705
2008-02-20,0.0438
2008-02-22,-5.3462
2008-02-25,20.0
2008-03-03,-3.2099
2008-03-05,2.8061
2008-04-23,-32.6303
2008-04-25,2.0258
2008-05-27,-7.9084
2008-06-18,12.7037
2008-07-16,-9.5652
2008-09-16,-36.5385
2008-12-23,-66.6667
2009-01-27,-11.25
2009-07-29,135.5954
2009-07-30,3.75
2009-11-16,-16.527
2009-11-20,-4.6752
2009-12-31,27.9789
2010-01-19,-5.3498
2010-01-27,-20.788
2010-03-09,3.3619
2010-04-01,-7.0694
2010-04-23,-11.4286
2010-04-29,-3.2258
2010-05-05,-10.9167
2011-01-25,14.5931
2011-01-28,-4.0
2011-02-01,0.0
2011-03-16,-18.1122
2011-04-11,108.3593
2011-04-12,34.4132
