ticker,RGBP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-04,153.3333
2014-09-05,-0.0329
2014-09-08,5.2978
2014-09-09,17.5
2014-09-10,-38.2979
2014-09-11,-13.7931
2014-09-12,-40.0
2014-09-15,-10.0
2014-09-16,114.8148
2014-09-17,-32.7586
2014-09-18,12.5641
2014-09-19,-6.6059
2014-09-22,-2.439
2014-09-23,0.0
2014-09-24,-15.0
2014-09-25,4.1176
2014-09-26,-12.4294
2014-09-29,8.3871
2014-09-30,-4.7619
2014-10-01,0.0
2014-10-02,52.4219
2014-10-03,2.5115
2014-10-06,-2.725
2014-10-07,-18.1701
2014-10-08,29.4912
2014-10-09,0.8489
2014-10-10,-14.1414
2014-10-13,-19.2717
2014-10-14,5.4823
2014-10-15,5.1974
2014-10-16,-8.3802
2014-10-17,3.413
2014-10-20,-7.3267
2014-10-21,7.6923
2014-10-22,0.463
2014-10-23,-10.7307
2014-10-24,-10.0295
2014-10-27,17.2541
2014-10-28,-13.317
2014-10-29,-3.2258
2014-10-30,10.0
2014-10-31,-6.6667
2014-11-03,-2.6786
2014-11-04,3.3361
2014-11-05,-9.6852
2014-11-06,-11.7069
2014-11-07,5.2632
2014-11-10,15.3846
2014-11-11,-17.9167
2014-11-12,5.5838
2014-11-13,7.5962
2014-11-14,-7.1492
2014-11-17,5.486
2014-11-18,-3.0566
2014-11-19,-0.0941
2014-11-20,-3.6269
2014-11-21,-6.1584
2014-11-24,-3.3333
2014-11-25,11.0991
2014-11-26,0.0
2014-11-28,-10.6693
2014-12-01,30.2932
2014-12-02,0.0
2014-12-03,0.0
2014-12-04,0.0
2014-12-05,-15.25
2014-12-08,32.94
2014-12-09,0.5917
2014-12-10,-13.5294
2014-12-11,2.1684
2014-12-12,-11.9018
2014-12-15,11.1006
2014-12-16,-10.0765
2014-12-17,9.5981
2014-12-18,-8.5418
2014-12-19,5.566
2014-12-22,-0.0447
2014-12-23,-13.3661
2014-12-24,0.0
2014-12-26,7.5851
2014-12-29,3.9808
2014-12-30,0.0923
2014-12-31,3.2258
2015-01-02,0.0
2015-01-05,-9.1964
2015-01-06,0.7866
2015-01-07,9.1707
2015-01-08,-9.2046
2015-01-09,3.3957
2015-01-12,2.8082000000000003
2015-01-13,-7.3148
2015-01-14,3.8961
2015-01-15,0.0
2015-01-16,3.8462
2015-01-20,-7.3148
2015-01-21,0.6993
2015-01-22,-4.8611
2015-01-23,-16.684
2015-01-26,9.0113
2015-01-27,-7.2331
2015-01-28,0.0
