ticker,HR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.6
2000-01-04,-2.3622
2000-01-05,1.6129
2000-01-06,4.7619
2000-01-07,2.2727
2000-01-10,2.963
2000-01-11,1.4388
2000-01-12,-0.3546
2000-01-13,1.7793999999999999
2000-01-14,-3.1469
2000-01-18,0.361
2000-01-19,1.0791
2000-01-20,0.3559
2000-01-21,0.7092
2000-01-24,-1.4085
2000-01-25,0.7143
2000-01-26,0.3546
2000-01-27,2.8269
2000-01-28,0.6873
2000-01-31,-1.7065000000000001
2000-02-01,0.3472
2000-02-02,2.699
2000-02-03,-1.0417
2000-02-04,-2.1053
2000-02-07,-1.4337
2000-02-08,-1.8182
2000-02-09,-2.2222
2000-02-10,-2.6515
2000-02-11,0.0
2000-02-14,-0.3891
2000-02-15,0.3906
2000-02-16,-1.1673
2000-02-17,1.5748
2000-02-18,-0.7752
2000-02-22,0.7813
2000-02-23,0.3876
2000-02-24,-2.3166
2000-02-25,-0.7905
2000-02-28,1.1952
2000-02-29,2.3622
2000-03-01,-1.1538
2000-03-02,0.3891
2000-03-03,-1.5504
2000-03-06,-0.7874
2000-03-07,0.0
2000-03-08,1.1905000000000001
2000-03-09,0.3922
2000-03-10,-1.1719
2000-03-13,1.581
2000-03-14,0.3891
2000-03-15,2.3256
2000-03-16,2.2727
2000-03-17,1.8519
2000-03-20,-1.0909
2000-03-21,0.7353
2000-03-22,1.0949
2000-03-23,0.0
2000-03-24,-0.361
2000-03-27,-0.7246
2000-03-28,-0.7299
2000-03-29,0.0
2000-03-30,-1.1029
2000-03-31,-0.3717
2000-04-03,2.2388
2000-04-04,0.7299
2000-04-05,0.7246
2000-04-06,2.1583
2000-04-07,0.7042
2000-04-10,0.0
2000-04-11,-0.6993
2000-04-12,-0.3521
2000-04-13,-2.1201
2000-04-14,0.722
2000-04-17,0.7168
2000-04-18,1.4235
2000-04-19,0.3509
2000-04-20,-0.6993
2000-04-24,-1.0563
2000-04-25,2.1352
2000-04-26,2.0906
2000-04-27,3.7542999999999997
2000-04-28,-5.2632
2000-05-01,2.0833
2000-05-02,0.6803
2000-05-03,0.6351
2000-05-04,-3.8062
2000-05-05,-0.3597
2000-05-08,0.722
2000-05-09,3.2258
2000-05-10,-2.0833
2000-05-11,-0.7092
2000-05-12,0.0
2000-05-15,-0.3571
2000-05-16,2.509
2000-05-17,-2.0979
2000-05-18,-3.5714
2000-05-19,1.1111
2000-05-22,-1.4652
2000-05-23,-1.487
