ticker,PAWH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-05,4.2857
2010-01-26,-3.1507
2010-01-27,3.2532
2010-01-28,-3.1507
2010-01-29,1.8388
2010-02-22,0.0
2010-02-24,0.0
2010-02-25,0.0
2010-05-20,2.7778
2010-07-08,0.0
2012-12-11,13.5135
2012-12-14,0.0
2012-12-26,0.0
2013-02-07,5.9524
2013-02-08,4.4944
2013-04-05,1.0753
2013-04-17,6.383
2014-01-07,-0.5
2014-08-04,10.5528
2014-11-19,27.0
2015-08-18,0.9373
2015-10-13,-49.1039
2015-12-15,16.7883
2016-05-23,78.6164
2016-05-31,0.0
2016-06-16,-16.9611
2017-01-19,-12.6638
2017-03-17,12.5628
2017-11-15,-18.8288
2020-01-10,44.1678
2020-01-14,0.0
2020-04-20,5.0228
2020-05-19,-8.6957
