ticker,WPKS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-15,265.0
2000-03-16,0.0
2000-03-17,96.9178
2000-03-20,47.8261
2000-03-21,-67.6471
2000-03-22,154.5455
2000-03-27,57.1429
2000-03-28,-17.0909
2000-03-29,64.4737
2000-03-30,10.0
2000-03-31,12.1212
2000-04-03,-12.1622
2000-04-04,16.9231
2000-04-06,47.3684
2000-04-07,8.9286
2000-04-10,1.6393
2000-04-11,4.8387
2000-04-12,0.0
2000-04-13,3.0769
2000-04-14,-0.7463
2000-04-17,-1.5038
2000-04-18,0.7634
2000-04-19,1.5152
2000-04-20,-1.1194
2000-04-24,2.6414999999999997
2000-04-25,-0.7353
2000-04-26,-2.2222
2000-04-27,0.0
2000-05-04,1.5152
2000-05-05,-2.9851
2000-05-12,-1.5385
2000-05-26,-1.5625
2000-05-31,4.7619
2000-06-01,9.0909
2000-06-02,-2.7778
2000-06-05,5.0
2000-06-06,2.7211
2000-06-08,3.3113
2000-06-09,2.5641
2000-06-12,0.3125
2000-06-19,3.4268
2000-06-20,-2.4096
2000-06-23,1.2346
2000-06-27,-0.9146
2000-07-05,8.3077
2000-07-06,0.0
2000-07-10,-1.1364
2000-07-11,-5.7471
2000-07-14,4.878
2000-07-19,-5.814
2000-07-21,7.4074
2000-07-24,-6.8966
2000-07-28,8.0247
2000-08-08,28.0
2000-08-14,-27.6786
2000-08-21,3.7037
2000-08-22,-3.5714
2000-08-23,0.6173
2000-08-24,0.6135
2000-08-28,2.439
2000-08-31,-3.5714
2000-09-06,3.7037
2000-09-14,3.5714
2000-09-18,-0.8621
2000-09-19,-0.2899
2000-09-20,1.1628
2000-09-29,-0.5747
2000-10-13,-2.8902
2000-10-16,0.0
2000-10-30,-33.3333
2000-11-06,10.7143
2000-11-10,4.8387
2000-11-13,4.6154
2000-11-21,-17.647100000000002
2000-11-22,21.4286
2000-11-27,-5.8824
2000-11-30,0.7813
2000-12-04,0.7752
2000-12-12,-63.0769
2000-12-15,-16.6667
2000-12-20,-20.0
2000-12-22,100.0
2000-12-28,-25.0
2000-12-29,33.3333
2001-01-24,-25.0
2001-02-01,33.3333
2001-03-06,-74.75
2002-03-19,-75.2475
2002-04-11,0.0
2002-06-24,-20.0
2002-06-26,-60.0
2002-06-27,-62.5
2002-10-09,-66.6667
2002-11-26,0.0
2003-07-21,0.0
2003-07-28,0.0
2004-06-23,0.0
2005-12-09,-40.0
2005-12-15,0.8333
2005-12-16,-13.2231
2005-12-19,0.0
