ticker,NHMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-02-27,30.0
2008-03-05,30.7692
2008-04-09,11.5294
2008-04-10,0.211
2008-04-14,0.0
2008-04-15,0.0
2008-04-16,-7.3684
2008-04-17,7.9545
2008-04-24,-0.2105
2008-04-25,0.211
2008-05-01,0.0
2008-05-02,-3.1579
2008-05-05,-0.5435
2008-05-06,10.3825
2008-05-07,-1.4851
2008-05-08,0.5025
2008-05-09,-0.5
2008-05-12,0.5025
2008-05-13,4.5
2008-05-15,0.4785
2008-05-23,2.8571
2008-05-27,-7.4074
2008-05-28,-0.5
2008-05-30,5.5276
2008-06-02,4.5714
2008-06-03,0.1821
2008-06-04,-0.4545
2008-06-05,-4.1096
2008-06-06,4.0952
2008-06-10,-13.0833
2008-06-11,-0.5263
2008-06-16,-4.7619
2008-06-19,-0.3333
2008-06-20,0.1115
2008-06-23,-0.3341
2008-06-24,0.0
2008-06-25,-1.1173
2008-06-26,0.565
2008-06-27,-4.4944
2008-06-30,0.0
2008-07-02,-0.5882
2008-07-07,0.0
2008-07-08,-11.2426
2008-07-10,-6.6667
2008-07-11,0.0
2008-07-15,-0.3571
2008-07-16,-1.0753
2008-07-17,1.4493
2008-07-21,0.0
2008-08-01,-7.1429
2008-08-04,4.6154
2008-08-05,-11.7647
2008-08-06,-16.6667
2008-08-11,0.0
2008-08-12,-0.6
2008-08-21,-19.5171
2008-08-26,11.25
2008-09-02,-6.2921
2008-09-03,0.0
2008-09-04,0.0
2008-09-16,-4.0767
2008-09-17,-0.5
2008-09-18,-4.5226
2008-10-01,5.2632
2008-10-02,-0.5
2008-10-03,-2.5126
2008-10-06,-1.2887
2008-10-08,-3.9164
2008-10-23,3.2609
2008-10-24,5.2632
2008-10-28,-5.25
2008-10-31,-7.6517
2008-11-03,-28.5714
2008-11-04,19.8
2008-11-05,0.1669
2008-11-12,0.0
2008-11-21,-3.3333
2008-12-01,-31.0345
2008-12-02,-70.0
2008-12-09,83.3333
2008-12-17,0.0
2008-12-18,963.6364
2008-12-24,-71.7949
2008-12-26,-54.5455
2009-01-09,-20.0
2009-01-14,-25.0
2009-01-26,-33.3333
2009-01-27,25.0
2009-02-04,-58.0
2009-02-27,138.0952
2009-03-02,40.0
2009-03-03,14.2857
2009-03-11,-50.0
2009-03-12,0.0
2009-04-01,0.0
2009-05-07,-25.0
2009-05-18,0.0
2009-08-10,1033.3333
2009-08-11,5.8824
2009-08-12,0.0
2009-08-13,16.6667
2009-08-14,19.0476
