ticker,SHSP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-03,-65.1899
2011-05-04,3.6364
2011-05-05,-3.5088
2011-05-06,0.0
2011-05-09,-54.5455
2011-05-10,60.0
2011-05-12,0.5
2011-05-13,-0.4975
2011-05-16,-0.5
2011-05-17,-31.6583
2011-05-18,43.3824
2011-05-19,2.5641
2011-05-23,-7.5
2011-05-24,5.4054
2011-05-27,0.0
2011-05-31,2.5641
2011-06-01,-5.0
2011-06-02,-13.1579
2011-06-07,3.0303
2011-06-08,11.7647
2011-06-17,-21.0526
2011-06-20,-10.0
2011-06-21,0.0
2011-06-22,22.2222
2011-06-23,-18.1818
2011-06-24,0.0
2011-06-29,0.0
2011-07-05,-11.1111
2011-07-06,0.0
2011-07-07,0.0
2011-07-11,12.5
2011-07-12,0.0
2011-07-13,11.8519
2011-07-15,5.9603
2011-07-18,-3.125
2011-07-21,6.4516
2011-07-28,-18.1818
2011-08-01,0.0
2011-08-02,40.7407
2011-08-03,2.6316
2011-08-08,-2.5641
2011-08-09,-46.8421
2011-08-10,78.2178
2011-08-15,-11.1111
2011-08-26,-25.0
2011-08-30,-15.8333
2011-09-01,58.4158
2011-09-02,0.0
2011-09-21,-6.25
2011-09-22,0.0
2011-09-23,0.0
2011-09-26,-30.0
2011-09-27,42.8571
2011-09-28,6.6667
2011-09-30,-35.625
2011-10-04,55.3398
2011-10-05,-18.75
2011-10-07,0.0
2011-10-25,-15.3846
2011-10-26,13.6364
2011-10-27,32.0
2011-10-31,6.0606
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.5714
2011-11-08,0.5682
2011-11-10,-4.5198
2011-11-11,-18.9349
2011-11-14,29.1971
2011-12-01,-24.8588
2011-12-02,12.782
2011-12-06,0.0
2011-12-07,0.0
2011-12-09,0.0
2011-12-12,0.0
2011-12-13,-6.6667
2011-12-22,-10.7143
2011-12-23,20.0
2011-12-30,-26.6667
2012-01-03,45.4545
2012-01-09,0.0
2012-01-11,-6.25
2012-01-12,-6.6667
2012-01-17,-3.5714
2012-01-18,25.9259
2012-01-20,-6.4706
2012-01-24,3.7736
2012-01-25,6.0606
2012-01-26,-1.1429
2012-01-31,12.7168
2012-02-06,0.0
2012-02-09,0.0
2012-02-10,-3.5897
2012-02-15,1.0638
2012-02-16,-2.6316
2012-02-21,-13.5135
2012-02-23,15.625
2012-02-29,-0.5405
2012-03-01,0.5435
2012-03-07,-0.5405
2012-03-12,-18.4783
2012-03-13,23.3333
2012-03-20,-2.7027
