ticker,VUME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-28,-66.6667
2012-10-08,48.0
2012-11-06,-32.4324
2012-12-28,-50.0
2013-01-08,-31.95
2013-01-09,127.9941
2013-01-10,-12.3429
2013-01-11,3.2353
2013-01-14,5.3241
2013-01-15,6.8469999999999995
2013-01-16,-31.6456
2013-01-17,22.2222
2013-01-18,-13.6364
2013-01-22,-15.0877
2013-01-23,-25.6715
2013-01-24,-19.3885
2013-01-25,-32.4138
2013-01-28,-33.6735
2013-01-29,-2.5962
2013-01-30,51.6288
2013-01-31,-11.4583
2013-02-01,-16.4706
2013-02-04,5.6338
2013-02-05,-9.3333
2013-02-06,16.1765
2013-02-07,-22.943
2013-02-08,3.4908
2013-02-11,1.5873
2013-02-12,-3.125
2013-02-13,-10.9879
2013-02-14,1.4723
2013-02-15,-10.3795
2013-02-19,-0.1245
2013-02-20,-13.217
2013-02-21,5.7471
2013-02-22,0.0
2013-02-25,15.2174
2013-02-26,-11.3208
2013-02-27,-2.1277
2013-02-28,-2.1739
2013-03-01,2.2222
2013-03-04,0.0
2013-03-05,-8.4239
2013-03-06,-9.792300000000001
2013-03-07,-2.6316
2013-03-08,8.1081
2013-03-11,10.0
2013-03-12,4.5455
2013-03-13,-18.4783
2013-03-14,-4.0
2013-03-15,-10.5903
2013-03-18,-16.1165
2013-03-19,-28.2407
2013-03-20,-1.9355
2013-03-21,-0.6579
2013-03-22,-4.6358
2013-03-25,-5.5556
2013-03-26,-17.647100000000002
2013-03-27,7.1429
2013-03-28,0.0
2013-04-01,0.0
2013-04-02,-33.3333
2013-04-03,18.75
2013-04-04,0.0
2013-04-05,-32.6316
2013-04-08,14.0625
2013-04-09,64.3836
2013-04-10,-6.6667
2013-04-11,0.0
2013-04-12,4.9107
2013-04-15,-4.6809
2013-04-16,-25.0
2013-04-17,-4.7619
2013-04-18,10.0
2013-04-19,-9.0909
2013-04-22,-18.125
2013-04-23,0.0
2013-04-24,-14.5038
2013-04-25,-14.2857
2013-04-26,50.0
2013-04-29,66.6667
2013-04-30,-31.25
2013-05-01,-30.9091
2013-05-02,12.2807
2013-05-03,0.0
2013-05-06,0.0
2013-05-07,17.1875
2013-05-08,-18.0
2013-05-09,5.6911000000000005
2013-05-10,0.0
2013-05-13,21.5385
2013-05-14,-27.8481
2013-05-15,-11.4035
2013-05-16,2.9703
2013-05-17,7.6923
2013-05-20,14.2857
2013-05-21,-12.5
2013-05-22,-21.4286
2013-05-23,-3.4091
