ticker,CBKC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-9.5238
2000-01-04,-5.2632
2000-01-05,-4.1667
2000-01-06,-1.8115999999999999
2000-01-07,-0.369
2000-01-10,0.0
2000-01-11,-2.963
2000-01-12,3.8167999999999997
2000-01-13,6.9853
2000-01-14,1.3746
2000-01-18,7.1186
2000-01-19,-5.0633
2000-01-20,-5.3333
2000-01-21,-0.7042
2000-01-24,-9.2199
2000-01-25,0.7813
2000-01-26,1.1628
2000-01-27,4.2146
2000-01-28,-2.9412000000000003
2000-01-31,2.2727
2000-02-01,0.7407
2000-02-02,2.2059
2000-02-03,11.5108
2000-02-04,-2.9032
2000-02-07,-0.3322
2000-02-08,-1.3333
2000-02-09,1.3514
2000-02-10,-1.3333
2000-02-11,2.027
2000-02-14,0.6623
2000-02-15,-0.3289
2000-02-16,0.0
2000-02-17,-8.9109
2000-02-18,-1.4493
2000-02-22,-7.3529
2000-02-23,1.5873
2000-02-24,-4.6875
2000-02-25,-4.918
2000-02-28,2.5862
2000-02-29,0.8403
2000-03-01,0.8333
2000-03-02,5.7851
2000-03-03,1.5625
2000-03-06,3.8462
2000-03-07,-2.2222
2000-03-08,0.0
2000-03-09,0.4735
2000-03-10,-2.7333
2000-03-13,-3.4884
2000-03-14,-0.4016
2000-03-15,-2.4194
2000-03-16,11.5702
2000-03-17,6.6667
2000-03-20,0.0
2000-03-21,3.4722
2000-03-22,1.3423
2000-03-23,2.649
2000-03-24,0.6452
2000-03-27,9.6154
2000-03-28,-1.7544
2000-03-29,0.0
2000-03-30,9.5238
2000-03-31,9.7826
2000-04-03,-4.703
2000-04-04,-4.9351
2000-04-05,7.9235
2000-04-06,4.8101
2000-04-07,-4.8309
2000-04-10,-0.7614
2000-04-11,4.3478
2000-04-12,-5.8824
2000-04-13,-0.5208
2000-04-14,-11.5183
2000-04-17,-1.1834
2000-04-18,-5.0898
2000-04-19,-3.7855
2000-04-20,-4.2623
2000-04-24,-3.4247
2000-04-25,8.156
2000-04-26,20.6557
2000-04-27,2.1739
2000-04-28,-2.6596
2000-05-01,3.8251
2000-05-02,2.6316
2000-05-03,-5.641
2000-05-04,-5.4348
2000-05-05,2.2989
2000-05-08,-1.1236
2000-05-09,8.5227
2000-05-10,-2.0942
2000-05-11,2.1390000000000002
2000-05-12,4.712
2000-05-15,2.25
2000-05-16,-0.978
2000-05-17,-0.2469
2000-05-18,4.9505
2000-05-19,1.8868
2000-05-22,-0.463
2000-05-23,-0.9302
