ticker,CPWR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-12-13,288.4615
2006-12-14,0.0
2006-12-18,0.0
2006-12-21,9.901
2006-12-22,-0.9009
2006-12-26,13.6364
2006-12-27,60.0
2006-12-29,-32.5
2007-01-03,0.0
2007-01-04,48.1481
2007-01-05,-37.5
2007-01-08,20.0
2007-01-09,-32.6667
2007-01-10,-0.9901
2007-01-11,1.0
2007-01-12,0.0
2007-01-16,0.0
2007-01-17,-30.6931
2007-01-19,28.5714
2007-01-22,-11.1111
2007-01-24,0.0
2007-01-25,0.0
2007-01-26,0.0
2007-01-30,12.5
2007-02-02,12.2222
2007-02-06,0.0
2007-02-08,0.0
2007-02-12,-3.9604
2007-02-14,-12.3711
2007-02-15,18.8235
2007-02-16,-12.8713
2007-02-20,0.0
2007-02-21,-3.4091
2007-02-28,0.0
2007-03-02,-11.7647
2007-03-09,0.0
2007-03-12,13.3333
2007-03-13,0.0
2007-03-20,-11.7647
2007-03-21,0.0
2007-03-23,0.0
2007-03-27,-13.3333
2007-03-28,-13.8462
2007-03-30,-1.7856999999999998
2007-04-02,-7.2727
2007-04-03,-11.7647
2007-04-05,0.0
2007-04-11,-31.1111
2007-04-13,0.0
2007-04-20,-35.4839
2007-04-23,10.0
2007-04-26,-9.0909
2007-04-27,-20.0
2007-04-30,-18.75
2007-05-03,7.6923
2007-05-07,0.0
2007-05-17,-35.7143
2007-05-21,0.0
2007-05-25,0.0
2007-06-01,11.1111
2007-06-06,-30.0
2007-06-08,0.0
2007-06-11,0.0
2007-06-18,28.5714
2007-06-22,-11.1111
2007-06-25,12.5
2007-06-27,11.1111
2007-06-29,50.0
2007-07-06,-33.3333
2007-07-12,5.0
2007-07-13,23.8095
2007-07-16,15.3846
2007-07-17,20.0
2007-07-24,0.0
2007-07-25,38.8889
2007-07-27,-24.0
2007-08-02,10.526299999999999
2007-08-06,0.0
2007-08-08,-9.5238
2007-08-10,5.2632
2007-08-14,0.0
2007-08-16,5.0
2007-08-20,0.0
2007-08-21,-4.7619
2007-08-24,0.0
2007-08-27,0.0
2007-08-28,-5.0
2007-08-30,0.0
2007-08-31,5.2632
2007-09-10,0.0
2007-09-11,0.0
2007-09-18,0.0
2007-09-20,0.0
2007-09-26,-5.0
2007-10-02,0.0
2007-10-03,0.0
2007-10-19,0.0
2007-10-23,0.0
2007-11-05,0.0
2007-11-16,0.0
2007-11-20,-36.8421
2007-12-03,25.0
2007-12-06,33.3333
2008-01-07,20.0
2008-01-08,25.0
