ticker,RWLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-12,113.3333
2014-09-15,45.1172
2014-09-16,-0.5384
2014-09-17,-8.7957
2014-09-18,-16.1721
2014-09-19,-1.6637
2014-09-22,14.1829
2014-09-23,-1.9546000000000001
2014-09-24,-3.0547
2014-09-25,1.1277
2014-09-26,1.6726999999999999
2014-09-29,6.7742
2014-09-30,3.1722
2014-10-01,-4.246
2014-10-02,-3.211
2014-10-03,-2.2749
2014-10-06,-5.5933
2014-10-07,-1.0274
2014-10-08,3.2872
2014-10-09,1.407
2014-10-10,-4.1956
2014-10-13,-11.6897
2014-10-14,-0.5076
2014-10-15,-2.2763
2014-10-16,12.3695
2014-10-17,2.8234
2014-10-20,0.4171
2014-10-21,-2.7345
2014-10-22,-4.3772
2014-10-23,-1.7119
2014-10-24,-1.8554
2014-10-27,12.2685
2014-10-28,0.5155
2014-10-29,-1.3675
2014-10-30,5.5113
2014-10-31,0.6899
2014-11-03,-1.5333999999999999
2014-11-04,0.4639
2014-11-05,-1.0554
2014-11-06,-0.0667
2014-11-07,0.1334
2014-11-10,0.433
2014-11-11,-1.8574000000000002
2014-11-12,-1.2504
2014-11-13,-3.833
2014-11-14,-0.7117
2014-11-17,-2.6882
2014-11-18,0.7735
2014-11-19,-1.3889
2014-11-20,-1.0007
2014-11-21,2.471
2014-11-24,0.475
2014-11-25,-2.9091
2014-11-26,-0.2622
2014-11-28,-0.9388
2014-12-01,-3.6391
2014-12-02,-1.4162
2014-12-03,-3.7111
2014-12-04,-7.874
2014-12-05,6.4777000000000005
2014-12-08,-2.8306
2014-12-09,-0.7826
2014-12-10,-6.0911
2014-12-11,0.3266
2014-12-12,-1.3023
2014-12-15,-2.1206
2014-12-16,-7.6553
2014-12-17,-2.2419000000000002
2014-12-18,6.6667
2014-12-19,8.1
2014-12-22,7.5393
2014-12-23,-7.3118
2014-12-24,0.5104
2014-12-26,-4.0166
2014-12-29,-1.3949
2014-12-30,-2.4878
2014-12-31,-5.5527999999999995
2015-01-02,3.8665000000000003
2015-01-05,1.0199
2015-01-06,2.4735
2015-01-07,0.4926
2015-01-08,4.2157
2015-01-09,-1.3641
2015-01-12,5.7225
2015-01-13,-6.4502
2015-01-14,-0.3375
2015-01-15,-0.387
2015-01-16,-1.5542
2015-01-20,-8.2388
2015-01-21,-6.7742
2015-01-22,-0.4037
2015-01-23,5.1534
2015-01-26,1.8721999999999999
2015-01-27,-1.3514
2015-01-28,-1.2603
2015-01-29,-1.7203
