ticker,WLSI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-28,50.0
2005-06-22,1566.6667
2005-06-23,160.0
2005-06-24,-7.6923
2005-06-27,25.0
2005-06-28,9.3333
2005-06-29,-14.6341
2005-06-30,-7.1429
2005-07-01,-3.0769
2005-07-05,1.5873
2005-07-06,4.6875
2005-07-07,-40.2985
2005-07-08,-15.0
2005-07-11,-23.5294
2005-07-12,92.3077
2005-07-13,8.0
2005-07-14,-14.8148
2005-07-15,-2.1739
2005-07-18,-11.1111
2005-07-19,-35.0
2005-07-20,-38.4615
2005-07-21,-6.25
2005-07-22,6.6667
2005-07-25,-6.25
2005-07-26,0.0
2005-07-27,106.6667
2005-07-28,3.2258
2005-07-29,-12.5
2005-08-01,7.1429
2005-08-02,3.3333
2005-08-03,-16.129
2005-08-04,11.538499999999999
2005-08-05,6.8966
2005-08-08,22.5806
2005-08-09,0.0
2005-08-10,10.526299999999999
2005-08-11,-11.9048
2005-08-12,16.2162
2005-08-15,-2.3256
2005-08-16,-23.8095
2005-08-17,-21.875
2005-08-18,-12.0
2005-08-19,-4.5455
2005-08-22,-14.2857
2005-08-23,11.1111
2005-08-24,0.0
2005-08-25,-5.0
2005-08-26,0.0
2005-08-29,-15.7895
2005-08-30,6.25
2005-08-31,0.0
2005-09-01,-8.8235
2005-09-02,9.6774
2005-09-06,-29.4118
2005-09-07,8.3333
2005-09-08,0.0
2005-09-09,46.1538
2005-09-12,-21.0526
2005-09-13,6.6667
2005-09-14,-12.5
2005-09-15,-28.5714
2005-09-16,50.0
2005-09-19,6.6667
2005-09-20,12.5
2005-09-21,-5.5556
2005-09-22,-11.7647
2005-09-23,0.0
2005-09-26,0.0
2005-09-27,20.0
2005-09-28,-27.7778
2005-09-29,15.3846
2005-09-30,0.0
2005-10-03,-13.3333
2005-10-04,0.0
2005-10-05,0.0
2005-10-06,-7.6923
2005-10-07,0.0
2005-10-10,-8.3333
2005-10-11,9.0909
2005-10-12,-8.3333
2005-10-13,0.0
2005-10-14,0.0
2005-10-17,-9.0909
2005-10-18,10.0
2005-10-19,-4.5455
2005-10-20,-9.5238
2005-10-21,-5.2632
2005-10-24,22.2222
2005-10-25,-18.1818
2005-10-26,11.1111
2005-10-27,0.0
2005-10-28,-10.0
2005-10-31,55.5556
2005-11-01,-25.0
2005-11-02,4.7619
2005-11-03,0.0
2005-11-04,27.2727
2005-11-07,28.5714
2005-11-08,-22.2222
2005-11-09,21.4286
2005-11-10,17.647100000000002
