ticker,API US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-26,152.5
2020-06-29,-6.9307
2020-06-30,-6.0213
2020-07-01,10.4596
2020-07-02,15.7819
2020-07-06,4.4079
2020-07-07,-1.1529
2020-07-08,-7.4957
2020-07-09,-5.7667
2020-07-10,2.8729
2020-07-13,-13.7146
2020-07-14,3.2809
2020-07-15,8.8431
2020-07-16,-7.9669
2020-07-17,5.7853
2020-07-20,0.6887
2020-07-21,-3.963
2020-07-22,-1.8433000000000002
2020-07-23,-1.6432
2020-07-24,-6.5306999999999995
2020-07-27,-10.0743
2020-07-28,-6.2468
2020-07-29,14.7302
2020-07-30,-0.7919
2020-07-31,5.3217
