ticker,BWB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-14,7.4043
2018-03-15,3.1696
2018-03-16,-1.2288999999999999
2018-03-19,-0.8554
2018-03-20,0.3137
2018-03-21,1.5636999999999999
2018-03-22,-1.6936
2018-03-23,0.7048
2018-03-26,0.8554
2018-03-27,0.3855
2018-03-28,-0.768
2018-03-29,1.161
2018-04-02,-0.8416
2018-04-03,1.1574
2018-04-04,-1.2204
2018-04-05,0.0772
2018-04-06,-0.0772
2018-04-09,0.3089
2018-04-10,3.6182
2018-04-11,0.0743
2018-04-12,-0.297
2018-04-13,-1.1169
2018-04-16,1.3554
2018-04-17,-1.5602
2018-04-18,0.9057
2018-04-19,-0.5236
2018-04-20,-0.3759
2018-04-23,-0.3774
2018-04-24,-1.6667
2018-04-25,0.0
2018-04-26,-1.1556
2018-04-27,1.1691
2018-04-30,0.2311
2018-05-01,1.153
2018-05-02,-0.9878
2018-05-03,0.614
2018-05-04,2.746
2018-05-07,-1.8559999999999999
2018-05-08,-1.8154
2018-05-09,-0.077
2018-05-10,1.542
2018-05-11,-1.3667
2018-05-14,-0.3849
2018-05-15,0.4637
2018-05-16,0.1538
2018-05-17,-0.1536
2018-05-18,0.0
2018-05-21,-0.4615
2018-05-22,0.4637
2018-05-23,0.0
2018-05-24,-0.3077
2018-05-25,-0.3858
2018-05-29,-1.7816
2018-05-30,0.1577
2018-05-31,1.2598
2018-06-01,-1.2442
2018-06-04,2.6772
2018-06-05,-0.1534
2018-06-06,-0.384
2018-06-07,-1.0023
2018-06-08,-0.6231
2018-06-11,0.7837
2018-06-12,-0.5443
2018-06-13,1.8765
2018-06-14,-1.3047
2018-06-15,-0.4666
2018-06-18,-0.0781
2018-06-19,0.6255
2018-06-20,1.3209
2018-06-21,-0.5368
2018-06-22,-0.8481
2018-06-25,-0.3888
2018-06-26,0.1561
2018-06-27,-0.8574
2018-06-28,0.0786
2018-06-29,-0.0786
2018-07-02,1.022
2018-07-03,-0.2335
2018-07-05,0.156
2018-07-06,0.7788
2018-07-09,0.3091
2018-07-10,-1.0015
2018-07-11,-1.1673
2018-07-12,1.5748
2018-07-13,-0.4651
2018-07-16,0.5452
2018-07-17,-0.2324
2018-07-18,0.2329
2018-07-19,0.6197
2018-07-20,-0.077
2018-07-23,-1.4638
2018-07-24,-1.3292
2018-07-25,0.7924
2018-07-26,1.1006
2018-07-27,0.6998
2018-07-30,-0.3861
2018-07-31,-1.1628
2018-08-01,-0.9412
2018-08-02,0.2375
