ticker,EEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-04-28,14.7059
2017-05-01,0.5128
2017-05-02,1.0714
2017-05-03,0.3029
2017-05-04,2.1641
2017-05-05,0.3448
2017-05-08,-0.3436
2017-05-09,1.3793
2017-05-10,2.0894
2017-05-11,0.0
2017-05-12,-0.476
2017-05-15,1.1478
2017-05-16,-0.4728
2017-05-17,2.0428
2017-05-18,0.4655
2017-05-19,0.8341
2017-05-22,1.1029
2017-05-23,-0.2727
2017-05-24,1.3674
2017-05-25,-1.0791
2017-05-26,-2.2727
2017-05-30,-4.6512
2017-05-31,-0.0976
2017-06-01,2.3438
2017-06-02,0.8588
2017-06-05,0.9934
2017-06-06,-0.3759
2017-06-07,0.2358
2017-06-08,1.8353000000000002
2017-06-09,0.3235
2017-06-12,1.2437
2017-06-13,2.3658
2017-06-14,0.9333
2017-06-15,-4.0951
2017-06-16,1.6987999999999999
2017-06-19,-1.0835
2017-06-20,-2.0082
2017-06-21,-0.4658
2017-06-22,-1.6846
2017-06-23,1.3327
2017-06-26,-0.2818
2017-06-27,1.2247
2017-06-28,1.5356
2017-06-29,-1.4665
2017-06-30,1.8605
2017-07-03,-0.6393
2017-07-05,0.3676
2017-07-06,-0.1832
2017-07-07,1.5138
2017-07-10,-0.0452
2017-07-11,0.6329
2017-07-12,-0.4043
2017-07-13,0.2706
2017-07-14,-0.4948
2017-07-17,-0.0904
2017-07-18,0.724
2017-07-19,0.0449
2017-07-20,-0.0898
2017-07-21,1.3483
2017-07-24,-1.286
2017-07-25,1.2129
2017-07-26,-0.1332
2017-07-27,0.0889
2017-07-28,2.1314
2017-07-31,-0.4783
2017-08-01,-1.4854
2017-08-02,-2.6608
2017-08-03,-3.9636
2017-08-04,2.9412000000000003
2017-08-07,0.0922
2017-08-08,-0.8287
2017-08-09,-0.1857
2017-08-10,-1.2093
2017-08-11,1.8362
2017-08-14,-0.5086
2017-08-15,0.9758
2017-08-16,0.6464
2017-08-17,-0.7798
2017-08-18,-0.8322
2017-08-21,0.7925
2017-08-22,-0.0925
2017-08-23,-0.463
2017-08-24,0.0
2017-08-25,0.5581
2017-08-28,-0.555
2017-08-29,0.4186
2017-08-30,0.0926
2017-08-31,0.6016
2017-09-01,1.242
2017-09-05,1.1813
2017-09-06,-0.449
2017-09-07,-0.7668
2017-09-08,-0.5
2017-09-11,2.2841
2017-09-12,0.3573
2017-09-13,0.534
2017-09-14,0.2213
2017-09-15,-0.5742
2017-09-18,-0.2665
