ticker,LTRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-11,-0.3333
2020-06-12,-1.3378
2020-06-15,-0.4746
2020-06-16,-9.4687
2020-06-17,-9.7818
2020-06-18,7.5897
2020-06-19,1.5504
2020-06-22,-0.6107
2020-06-23,-11.3671
2020-06-24,3.8128
2020-06-25,1.0017
2020-06-26,-3.3058
2020-06-29,5.1282
2020-06-30,3.252
2020-07-01,1.9685000000000001
2020-07-02,1.3900000000000001
2020-07-06,-0.2285
2020-07-07,-0.1527
2020-07-08,-1.5291000000000001
2020-07-09,2.0963
2020-07-10,-3.4981
2020-07-13,0.1576
2020-07-14,-0.4721
2020-07-15,-0.0806
2020-07-16,1.1092
2020-07-17,3.2864
2020-07-20,-6.0985
2020-07-21,-0.363
2020-07-22,5.1012
2020-07-23,-0.3852
2020-07-24,-2.8731999999999998
2020-07-27,0.6888
2020-07-28,-3.2819
2020-07-29,1.2265
2020-07-30,-1.2924
2020-07-31,0.8061
