ticker,USX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-14,4.25
2018-06-15,-0.3597
2018-06-18,-3.1288
2018-06-19,-6.1491
2018-06-20,4.5003
2018-06-21,-1.0133
2018-06-22,-2.1113
2018-06-25,-5.4902
2018-06-26,-6.5007
2018-06-27,-6.3609
2018-06-28,7.9779
2018-06-29,10.7535
2018-07-02,0.3963
2018-07-03,0.7237
2018-07-05,0.1306
2018-07-06,2.8702
2018-07-09,-1.7755
2018-07-10,0.9684
2018-07-11,1.1509
2018-07-12,-1.4539
2018-07-13,0.3207
2018-07-16,-5.9463
2018-07-17,-1.9714
2018-07-18,2.9126
2018-07-19,-0.3369
2018-07-20,0.4057
2018-07-23,2.963
2018-07-24,-7.3905
2018-07-25,-5.791
2018-07-26,-1.7991000000000001
2018-07-27,-0.0763
2018-07-30,-0.1528
2018-07-31,0.2295
2018-08-01,-0.6107
2018-08-02,3.533
2018-08-03,-1.1128
2018-08-06,2.4756
2018-08-07,1.9034
2018-08-08,1.2213
2018-08-09,-0.2839
2018-08-10,-0.0712
2018-08-13,-0.3561
2018-08-14,1.3580999999999999
2018-08-15,-1.2694
2018-08-16,0.5
2018-08-17,-0.4975
2018-08-20,1.2143
2018-08-21,0.7763
2018-08-22,0.9804
2018-08-23,-0.2774
2018-08-24,1.1127
2018-08-27,2.3384
2018-08-28,-0.7392
2018-08-29,0.3385
2018-08-30,-0.2699
2018-08-31,0.0677
2018-09-04,0.2028
2018-09-05,1.2821
2018-09-06,1.3324
2018-09-07,3.7475
2018-09-10,2.0913
2018-09-11,-1.1794
2018-09-12,-1.5704
2018-09-13,-4.9777000000000005
2018-09-14,0.8059
2018-09-17,0.8661
2018-09-18,-0.5284
2018-09-19,-2.656
2018-09-20,-1.1596
2018-09-21,-2.7605
2018-09-24,-0.4968
2018-09-25,-0.9272
2018-09-26,-1.3679000000000001
2018-09-27,-0.219
2018-09-28,0.951
2018-10-01,-1.3043
2018-10-02,-1.6886999999999999
2018-10-03,1.419
2018-10-04,-2.2091
2018-10-05,-5.0452
2018-10-08,-1.7446000000000002
2018-10-09,-0.9685
2018-10-10,-3.912
2018-10-11,-4.665
2018-10-12,-0.4448
2018-10-15,1.0724
2018-10-16,-0.0884
2018-10-17,-4.8673
2018-10-18,-7.0698
2018-10-19,-0.3003
2018-10-22,0.502
2018-10-23,-1.5984
2018-10-24,-3.1471999999999998
2018-10-25,2.935
2018-10-26,-4.0733
2018-10-29,-0.4246
2018-10-30,2.8785
