ticker,PERS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-08-11,0.0
2011-08-12,0.1111
2011-08-15,2.4972
2011-08-16,1.8408
2011-08-17,0.0
2011-08-18,-2.3923
2011-08-19,-1.0893
2011-08-22,-2.1476
2011-08-23,1.6882000000000001
2011-08-24,1.8816000000000002
2011-08-25,-0.9777
2011-08-26,0.6583
2011-08-29,2.8338
2011-08-30,0.106
2011-08-31,-0.2647
2011-09-01,0.4777
2011-09-02,-1.9017
2011-09-06,-0.6462
2011-09-07,0.7046
2011-09-08,0.1076
2011-09-09,-0.4301
2011-09-12,-0.54
2011-09-13,0.5972
2011-09-14,-0.5936
2011-09-15,2.3344
2011-09-16,0.7427
2011-09-19,1.3691
2011-09-20,-1.3506
2011-09-21,-0.5793
2011-09-22,-3.8665000000000003
2011-09-23,-0.6061
2011-09-26,-0.2217
2011-09-27,-0.1111
2011-09-28,-0.1669
2011-09-29,0.2786
2011-09-30,-6.3889
2011-10-03,-4.2136
2011-10-04,-1.425
2011-10-05,5.2797
2011-10-06,3.6418
2011-10-07,-2.1313
2011-10-10,3.0018
2011-10-11,0.9143
2011-10-12,-0.0566
2011-10-13,2.2663
2011-10-14,-0.4432
2011-10-17,-0.1113
2011-10-18,0.2786
2011-10-19,1.0
2011-10-20,0.8251
2011-10-21,1.3639000000000001
2011-10-24,0.8073
2011-10-25,0.6407
2011-10-26,1.3263
2011-10-27,-0.1047
2011-10-28,2.673
2011-10-31,0.7657
2011-11-01,-1.7224
2011-11-02,2.5773
2011-11-03,-0.402
2011-11-04,-1.11
2011-11-07,-1.1224
2011-11-08,-1.032
2011-11-09,-2.0334
2011-11-10,-1.2627
2011-11-11,1.5704
2011-11-14,-0.3865
2011-11-15,3.6031
2011-11-16,2.3542
2011-11-17,-1.0455
2011-11-18,1.4791
2011-11-21,0.0521
2011-11-22,0.4162
2011-11-23,-1.3472
2011-11-25,-0.8403
2011-11-28,1.589
2011-11-29,-0.8342
2011-11-30,0.4732
2011-12-01,0.7849
2011-12-02,-0.4154
2011-12-05,-0.3128
2011-12-06,0.1046
2011-12-07,0.7837
2011-12-08,-0.0399
2011-12-09,1.3364
2011-12-12,0.87
2011-12-13,1.0654
2011-12-14,-1.5562
2011-12-15,-1.5808
2011-12-16,1.2953000000000001
2011-12-19,-0.2558
2011-12-20,2.0513
2011-12-21,2.5628
2011-12-22,3.7727
2011-12-23,2.7384
2011-12-27,0.3217
2011-12-28,-1.9698
2011-12-29,3.271
