ticker,DHX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-18,3.0769
2007-07-19,3.7313
2007-07-20,-2.518
2007-07-23,0.2952
2007-07-24,-3.532
2007-07-25,-1.9832
2007-07-26,-5.7588
2007-07-27,1.569
2007-07-30,-0.4065
2007-07-31,-2.0408
2007-08-01,5.0
2007-08-02,0.7937
2007-08-03,-0.315
2007-08-06,-2.8436
2007-08-07,-4.7154
2007-08-08,-3.157
2007-08-09,-0.1762
2007-08-10,5.9135
2007-08-13,-0.0833
2007-08-14,-1.3344
2007-08-15,-7.0161
2007-08-16,4.5455
2007-08-17,-9.913
2007-08-20,2.3166
2007-08-21,-4.8113
2007-08-22,-2.5768
2007-08-23,2.5432
2007-08-24,-0.1984
2007-08-27,-2.3857
2007-08-28,-1.9348
2007-08-29,-0.6231
2007-08-30,2.4032999999999998
2007-08-31,-1.2245
2007-09-04,-0.9298
2007-09-05,1.147
2007-09-06,-4.3299
2007-09-07,-6.25
2007-09-10,-2.6437
2007-09-11,-0.3542
2007-09-12,-4.3839
2007-09-13,-2.8501
2007-09-14,-0.3827
2007-09-17,2.4328
2007-09-18,4.375
2007-09-19,14.7305
2007-09-20,2.2965
2007-09-21,0.2041
2007-09-24,3.666
2007-09-25,-2.947
2007-09-26,3.6437
2007-09-27,0.0977
2007-09-28,0.2927
2007-10-01,7.4903
2007-10-02,0.4525
2007-10-03,3.6036
2007-10-04,2.6957
2007-10-05,4.9958
2007-10-08,-5.3225999999999996
2007-10-09,-0.937
2007-10-10,-1.5476999999999999
2007-10-11,1.31
2007-10-12,3.9655
2007-10-15,-2.5705
2007-10-16,-1.5319
2007-10-17,3.8029
2007-10-18,-0.6661
2007-10-19,-2.347
2007-10-22,-1.2876
2007-10-23,-2.3478
2007-10-24,-2.9386
2007-10-25,2.844
2007-10-26,2.4978
2007-10-29,-0.5222
2007-10-30,4.9869
2007-10-31,6.75
2007-11-01,2.1858
2007-11-02,-0.6875
2007-11-05,-4.6923
2007-11-06,-5.004
2007-11-07,-4.2481
2007-11-08,-13.5759
2007-11-09,-6.5708
2007-11-12,7.6923
2007-11-13,12.1429
2007-11-14,0.6369
2007-11-15,8.2278
2007-11-16,-7.0175
2007-11-19,-6.9182
2007-11-20,0.1931
2007-11-21,-5.4913
2007-11-23,1.2232
2007-11-26,-3.8268
2007-11-27,2.3037
2007-11-28,5.1177
2007-11-29,-3.6027
2007-11-30,-0.202
2007-12-03,7.1862
2007-12-04,-5.6657
2007-12-05,-2.2022
