ticker,GSLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-15,-42.2857
2008-07-24,-0.9901
2008-07-28,-35.0
2008-07-30,23.0769
2008-08-04,0.0
2008-08-18,0.0
2008-08-20,-18.75
2008-10-13,69.2308
2008-10-31,-8.1818
2009-02-03,-70.297
2009-02-06,236.6667
2009-05-22,-60.396
2009-08-07,12.5
2009-09-04,-88.8889
2009-09-29,720.0
2009-10-21,-36.5854
2009-11-19,34.6154
2010-01-19,17.1429
2010-01-25,46.3415
2010-02-09,-25.0
2010-02-18,66.6667
2010-02-26,-18.6667
2010-04-15,63.9344
2010-04-16,10.0
2010-04-19,-8.1818
2010-04-21,25.7426
2010-04-22,0.0
2010-04-27,11.811
2010-04-28,0.0
2010-04-29,5.6338
2010-04-30,0.0
2010-05-05,-16.6667
2010-05-06,0.0
2010-05-07,20.0
2010-05-11,-9.3333
2010-05-13,10.2941
2010-05-14,0.0
2010-05-18,0.0
2010-05-19,13.3333
2010-05-24,2.9412000000000003
2010-05-25,0.0
2010-06-02,-2.8571
2010-06-03,-14.7059
2010-06-09,34.4828
2010-06-10,-7.6923
2010-06-11,13.8889
2010-06-14,0.4878
2010-06-15,-14.0777
2010-06-16,-15.2542
2010-06-17,0.6667
2010-06-18,29.1391
2010-06-21,-4.6154
2010-06-22,-1.0753
2010-06-23,-14.1304
2010-06-24,6.3291
2010-06-25,-10.7143
2010-06-28,-26.6667
2010-06-29,20.0
2010-06-30,-12.8788
2010-07-01,-0.8696
2010-07-02,-16.6667
2010-07-06,21.0526
2010-07-07,-10.4348
2010-07-08,-6.7961
2010-07-09,14.5833
2010-07-12,-4.5455
2010-07-13,-9.5238
2010-07-14,15.7895
2010-07-15,-9.0909
2010-07-16,0.0
2010-07-19,-6.0
2010-07-20,6.383
2010-07-21,-5.0
2010-07-22,-9.473700000000001
2010-07-23,-9.3023
2010-07-26,2.5641
2010-07-27,-9.9844
2010-07-28,18.0351
2010-07-29,-11.7647
2010-07-30,0.0
2010-08-02,-6.6667
2010-08-03,-14.2857
2010-08-04,6.6667
2010-08-05,-7.8125
2010-08-06,5.0847
2010-08-09,-12.9032
2010-08-10,-1.8519
2010-08-11,-15.0943
2010-08-12,11.1111
2010-08-13,-24.0
2010-08-16,-15.7895
2010-08-17,3.125
2010-08-18,-24.2424
2010-08-19,0.0
2010-08-20,-12.0
2010-08-23,-15.9091
2010-08-24,35.1351
2010-08-25,44.0
2010-08-26,22.2222
2010-08-27,29.5455
2010-08-30,14.0351
