ticker,WSM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.163
2000-01-04,-3.1519
2000-01-05,0.5917
2000-01-06,-20.0
2000-01-07,-1.6543999999999999
2000-01-10,3.3645
2000-01-11,0.5425
2000-01-12,-2.8777
2000-01-13,1.1111
2000-01-14,0.3663
2000-01-18,3.8321
2000-01-19,5.2724
2000-01-20,-2.3372
2000-01-21,-1.7094
2000-01-24,-0.6957
2000-01-25,-3.5026
2000-01-26,-3.9927
2000-01-27,-5.8601
2000-01-28,1.2048
2000-01-31,0.5952
2000-02-01,2.1696
2000-02-02,2.5097
2000-02-03,-2.6365
2000-02-04,1.1605
2000-02-07,-1.5295999999999998
2000-02-08,2.5243
2000-02-09,-0.7576
2000-02-10,-1.9083999999999999
2000-02-11,-5.8366
2000-02-14,-1.6529
2000-02-15,-2.1008
2000-02-16,-11.1588
2000-02-17,15.942
2000-02-18,-6.4583
2000-02-22,0.6682
2000-02-23,3.3186
2000-02-24,-5.3533
2000-02-25,-1.5836999999999999
2000-02-28,3.908
2000-02-29,9.5133
2000-03-01,5.0505
2000-03-02,-3.2692
2000-03-03,-1.7893
2000-03-06,-36.8421
2000-03-07,0.9615
2000-03-08,21.9048
2000-03-09,-4.1667
2000-03-10,-1.6303999999999998
2000-03-13,-1.9337
2000-03-14,-1.9718
2000-03-15,6.3218
2000-03-16,18.3784
2000-03-17,-0.6849
2000-03-20,-0.6897
2000-03-21,2.0833
2000-03-22,-2.7211
2000-03-23,-1.1655
2000-03-24,-1.8868
2000-03-27,-1.2019
2000-03-28,0.7299
2000-03-29,0.4831
2000-03-30,4.5673
2000-03-31,14.023
2000-04-03,0.2016
2000-04-04,-1.8109
2000-04-05,-1.4344000000000001
2000-04-06,0.2079
2000-04-07,9.5436
2000-04-10,-4.1667
2000-04-11,-2.9644
2000-04-12,2.6477
2000-04-13,4.9603
2000-04-14,-10.2079
2000-04-17,-3.1579
2000-04-18,4.7826
2000-04-19,-2.2822
2000-04-20,4.034
2000-04-24,-2.0408
2000-04-25,2.9167
2000-04-26,8.502
2000-04-27,0.3731
2000-04-28,2.974
2000-05-01,-1.6245
2000-05-02,-3.1193
2000-05-03,-6.8182
2000-05-04,-0.6098
2000-05-05,1.8405
2000-05-08,3.4137
2000-05-09,-2.3301
2000-05-10,-1.5905
2000-05-11,6.6667
2000-05-12,2.6515
2000-05-15,6.2731
2000-05-16,3.2986
2000-05-17,-1.5126
2000-05-18,-3.413
2000-05-19,-3.7102
