ticker,TJSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-13,6.25
2000-06-15,23.5294
2000-06-21,4.7619
2000-06-22,-9.0909
2000-06-23,30.0
2000-06-26,-7.6923
2000-06-27,0.0
2000-06-29,-4.1667
2000-07-05,13.0435
2000-07-13,-15.3846
2000-07-14,0.0
2000-07-19,-9.0909
2000-07-20,0.0
2000-07-21,0.0
2000-07-26,-19.2
2000-07-27,0.0
2000-07-28,5.198
2000-08-01,5.8824
2000-08-16,-22.2222
2000-08-23,-78.5714
2000-09-26,233.3333
2000-10-04,0.0
2000-10-10,-40.0
2000-10-13,66.6667
2000-10-16,20.0
2000-10-17,-16.6667
2000-10-20,0.0
2000-10-25,-2.4
2000-10-27,-38.5246
2000-11-07,-33.3333
2000-11-08,-32.0
2000-11-10,0.0
2000-11-20,0.0
2000-11-22,-69.4118
2000-12-06,-3.8462
2000-12-21,0.0
2000-12-29,-80.0
2001-01-31,150.0
2001-02-01,0.0
2001-03-13,0.0
2001-07-25,4.0
2002-08-12,-65.3846
2002-10-11,38.8889
2003-03-07,-60.0
2005-05-26,0.0
2005-08-10,1900.0
2005-09-12,400.0
2005-09-16,2.0
2005-09-19,0.0
2005-09-28,37.2549
2005-09-29,7.1429
2005-10-03,33.3333
2005-10-04,0.0
2005-10-05,-25.0
2005-10-07,-60.0
2005-10-10,0.0
2005-10-12,0.0
2005-10-13,0.0
2005-10-14,0.0
2005-10-17,-16.6667
2005-10-18,-12.0
2005-10-20,0.0
2005-10-21,13.6364
2005-10-27,20.0
2005-10-28,-16.6667
2005-11-01,-20.0
2005-11-02,25.0
2005-11-03,20.0
2005-11-04,-26.6667
2005-11-07,0.0
2005-11-08,-18.1818
2005-11-09,33.3333
2005-11-10,-8.3333
2005-11-11,-9.0909
2005-11-14,-10.0
2005-11-15,0.0
2005-11-16,0.0
2005-11-17,16.6667
2005-11-18,0.0
2005-11-21,-4.7619
2005-11-22,-10.0
2005-11-23,-27.7778
2005-11-25,-7.6923
2005-11-28,0.0
2005-11-29,8.3333
2005-11-30,-15.3846
2005-12-02,18.1818
2005-12-05,-7.6923
2005-12-06,0.0
2005-12-07,8.3333
2005-12-08,-7.6923
2005-12-09,25.0
2005-12-12,0.0
2005-12-13,-26.6667
2005-12-14,9.0909
2005-12-15,-8.3333
2005-12-16,-9.0909
2005-12-19,30.0
2005-12-20,7.6923
2005-12-21,0.0
2005-12-22,-14.2857
2005-12-23,41.6667
2005-12-27,-23.5294
2005-12-28,7.6923
