ticker,LPLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-18,7.1667
2010-11-19,1.3997
2010-11-22,-1.227
2010-11-23,1.7391
2010-11-24,0.5495
2010-11-26,-0.1214
2010-11-29,2.0061
2010-11-30,1.0131000000000001
2010-12-01,3.2743
2010-12-02,-0.8855
2010-12-03,0.0288
2010-12-06,1.9303
2010-12-07,1.0175
2010-12-08,-0.028
2010-12-09,0.1679
2010-12-10,-2.6264
2010-12-13,-3.099
2010-12-14,-0.3553
2010-12-15,-1.0104
2010-12-16,0.1801
2010-12-17,-0.2997
2010-12-20,1.3225
2010-12-21,1.0976
2010-12-22,1.5552000000000001
2010-12-23,0.6934
2010-12-27,0.4304
2010-12-28,1.9428999999999998
2010-12-29,1.4574
2010-12-30,0.2762
2010-12-31,0.1928
2011-01-03,-3.8631
2011-01-04,-3.7037
2011-01-05,1.3365
2011-01-06,0.2052
2011-01-07,-0.6727
2011-01-10,-0.6184
2011-01-11,1.4519
2011-01-12,-0.1752
2011-01-13,-1.5506
2011-01-14,-0.8618
2011-01-18,0.6295
2011-01-19,1.3107
2011-01-20,0.0
2011-01-21,0.5587
2011-01-24,-0.5848
2011-01-25,-3.9412000000000003
2011-01-26,0.0919
2011-01-27,1.1013
2011-01-28,0.0908
2011-01-31,3.5671
2011-02-01,0.7589
2011-02-02,-1.0429
2011-02-03,-0.4098
2011-02-04,-0.3527
2011-02-07,-0.4425
2011-02-08,0.2667
2011-02-09,-2.4823
2011-02-10,0.1818
2011-02-11,-0.3327
2011-02-14,0.3035
2011-02-15,-0.2118
2011-02-16,0.2122
2011-02-17,-0.6354
2011-02-18,0.2132
2011-02-22,-1.8839000000000001
2011-02-23,-0.4336
2011-02-24,0.9953
2011-02-25,0.9547
2011-02-28,2.532
2011-03-01,0.3868
2011-03-02,-3.4084
2011-03-03,-0.7978
2011-03-04,0.0
2011-03-07,0.0619
2011-03-08,1.2983
2011-03-09,1.7088999999999999
2011-03-10,-0.8701
2011-03-11,0.7869
2011-03-14,0.4805
2011-03-15,-0.3288
2011-03-16,-0.8396
2011-03-17,2.0562
2011-03-18,6.0741
2011-03-21,-1.0894
2011-03-22,0.0565
2011-03-23,-0.7338
2011-03-24,0.9667
2011-03-25,1.2671999999999999
2011-03-28,-0.3337
2011-03-29,-0.2511
2011-03-30,0.6713
2011-03-31,-0.5001
2011-04-01,0.2793
2011-04-04,-2.0329
2011-04-05,-1.2223
2011-04-06,-0.7482
2011-04-07,0.116
2011-04-08,0.3475
