ticker,DNOW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-21,9.0461
2014-05-22,-5.7315000000000005
2014-05-23,2.4
2014-05-27,-0.0625
2014-05-28,-0.7192
2014-05-29,-1.1024
2014-05-30,3.0255
2014-06-02,9.7372
2014-06-03,-1.5775000000000001
2014-06-04,-1.8603
2014-06-05,-0.0292
2014-06-06,-4.3174
2014-06-09,-1.7073
2014-06-10,1.4888
2014-06-11,2.5672
2014-06-12,-1.0429
2014-06-13,1.0238
2014-06-16,-1.6393
2014-06-17,2.0
2014-06-18,1.0992
2014-06-19,-0.0588
2014-06-20,0.294
2014-06-23,4.6028
2014-06-24,-0.5045
2014-06-25,0.5634
2014-06-26,4.1737
2014-06-27,-0.968
2014-06-30,-1.6834
2014-07-01,-0.6352
2014-07-02,-0.5559
2014-07-03,-0.3633
2014-07-07,-1.4867
2014-07-08,-0.8827
2014-07-09,0.5458
2014-07-10,-1.2286
2014-07-11,0.405
2014-07-14,0.3745
2014-07-15,-0.7176
2014-07-16,-1.3877
2014-07-17,-0.5863
2014-07-18,0.118
2014-07-21,-1.2077
2014-07-22,-0.2087
2014-07-23,-0.3287
2014-07-24,0.2398
2014-07-25,-0.5383
2014-07-28,0.1804
2014-07-29,-0.5102
2014-07-30,-0.2112
2014-07-31,-2.6904
2014-08-01,0.3728
2014-08-04,1.3618000000000001
2014-08-05,0.0
2014-08-06,-3.9389
2014-08-07,-4.2912
2014-08-08,2.989
2014-08-11,-0.7417
2014-08-12,1.2346
2014-08-13,3.466
2014-08-14,-1.3336999999999999
2014-08-15,0.723
2014-08-18,-0.0936
2014-08-19,1.9057
2014-08-20,-0.4292
2014-08-21,1.4778
2014-08-22,0.6675
2014-08-25,-0.4822
2014-08-26,-0.2726
2014-08-27,0.0607
2014-08-28,-0.3945
2014-08-29,0.6399
2014-09-02,-0.6963
2014-09-03,0.061
2014-09-04,-1.0664
2014-09-05,-0.5544
2014-09-08,-0.5574
2014-09-09,-0.1246
2014-09-10,-0.4054
2014-09-11,1.221
2014-09-12,0.0
2014-09-15,-0.9589
2014-09-16,0.7808
2014-09-17,-1.7354
2014-09-18,-0.1577
2014-09-19,1.1687
2014-09-22,-2.3728
2014-09-23,-0.3518
2014-09-24,-0.6418
2014-09-25,-0.9044
2014-09-26,1.043
2014-09-29,0.0968
2014-09-30,-1.9981
2014-10-01,-2.6965
2014-10-02,-1.6560000000000001
2014-10-03,0.3093
2014-10-06,-0.7537
2014-10-07,-1.0356
