ticker,EVBG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-16,27.0833
2016-09-19,8.1967
2016-09-20,3.0909
2016-09-21,3.1746
2016-09-22,-3.9316
2016-09-23,-10.6762
2016-09-26,7.8353
2016-09-27,4.803
2016-09-28,-3.0552
2016-09-29,-1.0909
2016-09-30,3.3088
2016-10-03,-0.7117
2016-10-04,1.6129
2016-10-05,-7.5838
2016-10-06,3.1807
2016-10-07,-0.5549
2016-10-10,-2.2939
2016-10-11,-0.5076
2016-10-12,-3.4439
2016-10-13,0.3963
2016-10-14,2.4342
2016-10-17,-3.8536
2016-10-18,-1.2692
2016-10-19,-2.3004
2016-10-20,2.7008
2016-10-21,2.0904
2016-10-24,2.0476
2016-10-25,0.712
2016-10-26,0.1928
2016-10-27,-2.6299
2016-10-28,-4.1502
2016-10-31,1.1684
2016-11-01,-1.087
2016-11-02,-0.9615
2016-11-03,-2.8433
2016-11-04,-0.9279
2016-11-07,4.755
2016-11-08,-0.7565
2016-11-09,3.1878
2016-11-10,2.4177
2016-11-11,-0.1311
2016-11-14,-0.0657
2016-11-15,1.0512
2016-11-16,0.065
2016-11-17,4.7433
2016-11-18,3.9082
2016-11-21,0.1194
2016-11-22,0.5963
2016-11-23,-1.7783
2016-11-25,0.0604
2016-11-28,2.4729
2016-11-29,-4.9441
2016-11-30,-1.4861
2016-12-01,-2.3884
2016-12-02,-1.7386
2016-12-05,4.3906
2016-12-06,1.6949
2016-12-07,2.037
2016-12-08,2.8433
2016-12-09,-0.3529
2016-12-12,2.8335
2016-12-13,3.1573
2016-12-14,-0.2782
2016-12-15,6.3616
2016-12-16,2.7282
2016-12-19,3.4219
2016-12-20,-2.0741
2016-12-21,-1.0086
2016-12-22,-1.8849
2016-12-23,0.8827
2016-12-27,-3.088
2016-12-28,-4.0892
2016-12-29,0.9967
2016-12-30,1.1513
2017-01-03,-2.168
2017-01-04,5.4294
2017-01-05,1.5765
2017-01-06,-0.1035
2017-01-09,-3.4179
2017-01-10,-0.0536
2017-01-11,2.5215
2017-01-12,-2.9304
2017-01-13,2.5337
2017-01-17,-1.6299000000000001
2017-01-18,0.1069
2017-01-19,-0.0534
2017-01-20,-0.7479
2017-01-23,-1.4532
2017-01-24,3.6046
2017-01-25,2.7939
2017-01-26,-0.2051
2017-01-27,-1.0791
2017-01-30,-2.4935
2017-01-31,-1.5983
2017-02-01,0.379
2017-02-02,0.9709
2017-02-03,1.3355000000000001
2017-02-06,-2.1612999999999998
