ticker,SEIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.5645
2000-01-04,-7.4674
2000-01-05,0.6603
2000-01-06,-2.05
2000-01-07,4.8165
2000-01-10,1.5316999999999998
2000-01-11,-6.6541
2000-01-12,-0.4906
2000-01-13,2.0302
2000-01-14,-0.0569
2000-01-18,0.3413
2000-01-19,0.2268
2000-01-20,0.8201
2000-01-21,0.8135
2000-01-24,-1.892
2000-01-25,-5.4169
2000-01-26,-3.4483
2000-01-27,-0.1242
2000-01-28,4.1045
2000-01-31,-0.3584
2000-02-01,-0.5396
2000-02-02,3.255
2000-02-03,-2.3935
2000-02-04,-3.3493
2000-02-07,-2.6609
2000-02-08,0.6993
2000-02-09,1.0732
2000-02-10,-1.6864
2000-02-11,-5.4638
2000-02-14,3.797
2000-02-15,0.0324
2000-02-16,-4.2718
2000-02-17,3.854
2000-02-18,0.3906
2000-02-22,-1.978
2000-02-23,3.6718
2000-02-24,-7.7218
2000-02-25,3.0775
2000-02-28,-1.107
2000-02-29,-3.0529
2000-03-01,5.7033000000000005
2000-03-02,-0.3641
2000-03-03,2.4252000000000002
2000-03-06,0.4865
2000-03-07,1.2266
2000-03-08,-0.8929
2000-03-09,0.2574
2000-03-10,-0.1284
2000-03-13,-1.1247
2000-03-14,0.3575
2000-03-15,-1.0363
2000-03-16,4.712
2000-03-17,-1.625
2000-03-20,0.5083
2000-03-21,4.0139
2000-03-22,1.3674
2000-03-23,4.0767
2000-03-24,2.3618
2000-03-27,-6.1339
2000-03-28,3.1175
2000-03-29,-2.5581
2000-03-30,0.537
2000-03-31,7.7151
2000-04-03,-0.8815
2000-04-04,-1.6676
2000-04-05,-2.035
2000-04-06,1.2118
2000-04-07,0.171
2000-04-10,0.4553
2000-04-11,1.1048
2000-04-12,-6.4444
2000-04-13,2.7853
2000-04-14,-3.8462
2000-04-17,2.9697
2000-04-18,6.2978
2000-04-19,0.1107
2000-04-20,-1.3274
2000-04-24,2.6906
2000-04-25,3.4934
2000-04-26,-0.6329
2000-04-27,1.0616
2000-04-28,0.3151
2000-05-01,0.5236
2000-05-02,-3.3854
2000-05-03,1.0377
2000-05-04,-2.2542
2000-05-05,2.8384
2000-05-08,1.6454
2000-05-09,-0.8877
2000-05-10,-5.8746
2000-05-11,7.9205
2000-05-12,-0.8299
2000-05-15,1.4121000000000001
2000-05-16,3.0428
2000-05-17,-2.9029
2000-05-18,2.9381
2000-05-19,0.8513
2000-05-22,2.3833
2000-05-23,1.4549
