ticker,ESGC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-04,58.3875
2011-06-29,-11.6092
2011-11-01,18.8571
2011-11-09,2.6442
2011-11-10,1.171
2012-01-13,-16.4352
2012-02-13,-0.277
2012-02-27,-2.7778
2012-03-30,13.4286
2012-04-13,8.6178
2012-04-18,6.444
2012-04-20,1.8233000000000001
2012-05-10,-3.9918
2012-05-16,-8.6275
2012-07-18,-26.3902
2012-08-17,2.3857
2012-08-27,10.0324
2012-09-05,5.9706
2012-10-18,-4.524
2012-12-03,17.1512
2013-01-07,-4.2184
2013-01-16,3.2902
2013-01-22,-2.6085000000000003
2013-02-28,-3.4252000000000002
2013-07-18,-16.8
2013-08-16,30.1282
2013-08-22,-8.6207
2013-09-16,11.5465
2013-11-11,-2.1355
2013-11-12,-3.7037
2013-11-13,-7.0086
2013-11-14,1.1029
2013-11-15,0.0909
2013-11-18,1.1807
2013-11-19,-1.2567
2013-11-20,0.4545
2013-11-21,0.4525
2013-11-22,-0.7207
2013-11-25,-0.1815
2013-11-26,-0.3636
2013-11-27,0.365
2013-11-29,0.9091
2013-12-02,-1.3514
2013-12-03,0.0365
2013-12-04,0.4199
2013-12-05,-1.8182
2013-12-06,0.9259
2013-12-09,0.2752
2013-12-10,0.366
2013-12-11,-0.8204
2013-12-12,-3.0331
2013-12-13,-0.9479
2013-12-16,-2.8708
2013-12-17,-4.0394
2013-12-18,2.1561
2013-12-19,-0.0905
2013-12-20,0.6941
2013-12-23,4.4955
2013-12-24,1.2428
2013-12-26,0.3777
2013-12-27,4.3274
2013-12-30,-0.7214
2013-12-31,0.9083
2014-01-02,-0.36
2014-01-03,-0.271
2014-01-06,0.2717
2014-01-07,-1.084
2014-01-08,0.4566
2014-01-09,-0.5455
2014-01-10,-0.9141
2014-01-13,-0.369
2014-01-14,-1.2963
2014-01-15,-0.469
2014-01-16,-0.1885
2014-01-17,-2.1719
2014-01-21,-0.0965
2014-01-22,-0.4831
2014-01-23,-4.2718
2014-01-24,-5.9635
2014-01-27,0.9491
2014-01-28,3.5256
2014-01-29,-1.3416000000000001
2014-01-30,0.0
2014-01-31,-1.6736
2014-02-03,-0.1064
2014-02-04,-4.6858
2014-02-05,-0.1117
2014-02-06,5.0336
2014-02-07,5.4313
2014-02-10,6.3636
2014-02-11,1.7094
2014-02-12,0.9337
2014-02-13,-4.3478
2014-02-14,-0.7737
2014-02-18,-0.4971
2014-02-19,-0.5779
2014-02-20,0.9852
2014-02-21,0.4878
