ticker,UNXLQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-02-18,19.403
2005-04-19,25.0
2005-04-20,-5.0
2005-04-26,5.2632
2005-05-02,-10.0
2005-05-09,0.0
2005-05-25,8.8889
2005-05-26,-2.0408
2005-05-31,0.0
2005-06-03,8.3333
2005-06-08,-3.8462
2005-06-13,-12.0
2005-06-15,11.3636
2005-06-20,2.0408
2005-06-22,-10.0
2005-07-14,16.6667
2005-07-29,-5.7143
2005-08-01,0.0
2005-08-05,-16.1616
2005-08-10,-3.6145
2005-08-11,-6.25
2005-08-22,22.6667
2005-08-26,14.1304
2005-08-29,-9.5238
2005-09-06,15.7895
2005-09-15,0.0
2005-09-20,-5.4545
2005-09-23,0.0
2005-09-28,-13.461500000000001
2005-09-29,0.0
2005-10-04,11.1111
2005-10-10,0.0
2005-10-12,-5.0
2005-10-18,0.0
2005-10-25,-15.7895
2005-10-26,12.5
2005-10-28,0.0
2005-11-08,-33.3333
2005-11-09,25.0
2005-11-30,13.3333
2005-12-06,5.8824
2005-12-14,-33.3333
2005-12-15,46.6667
2005-12-27,0.0
2006-01-03,-9.0909
2006-01-20,6.25
2006-01-25,-10.5882
2006-02-02,-21.0526
2006-02-08,0.0
2006-02-09,0.0
2006-02-16,-1.0
2006-03-01,-30.9764
2006-03-02,46.3415
2006-03-03,13.3333
2006-03-07,-30.8824
2006-03-08,0.0
2006-03-14,0.0
2006-03-20,6.8085
2006-03-21,-2.3904
2006-03-23,-4.0816
2006-03-24,0.0
2006-03-27,-10.6383
2006-03-28,-2.3810000000000002
2006-04-03,-2.439
2006-04-04,2.5
2006-04-05,0.0
2006-04-06,-4.878
2006-04-10,-2.5641
2006-04-11,2.6316
2006-04-13,-22.0513
2006-04-17,-7.8947
2006-04-18,42.8571
2006-04-28,-5.0
2006-05-03,0.0
2006-05-05,-8.9474
2006-05-08,9.8266
2006-05-17,0.0
2006-05-19,-21.0526
2006-05-22,23.3333
2006-05-23,-5.4054
2006-05-24,0.0
2006-05-25,0.0
2006-05-26,0.0
2006-05-30,-2.8571
2006-05-31,5.8824
2006-06-02,-2.7778
2006-06-13,0.0
2006-06-14,8.5714
2006-06-16,5.2632
2006-06-19,-15.0
2006-06-21,-2.9412000000000003
2006-06-22,0.0
2006-06-26,9.0909
2006-06-28,-2.7778
2006-06-30,2.8571
2006-07-03,-2.7778
2006-07-05,0.0
2006-07-06,5.7143
2006-07-10,-10.8108
2006-07-12,0.0
2006-07-18,0.0
2006-07-21,-9.0909
