ticker,PRGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.5294
2000-01-04,0.4878
2000-01-05,8.2524
2000-01-06,-3.5874
2000-01-07,11.3953
2000-01-10,7.62
2000-01-11,-8.0504
2000-01-12,-4.8523
2000-01-13,12.1951
2000-01-14,5.5336
2000-01-18,0.3745
2000-01-19,0.0
2000-01-20,-6.7164
2000-01-21,5.8
2000-01-24,-6.6163
2000-01-25,-2.7328
2000-01-26,-2.6015
2000-01-27,-3.8462
2000-01-28,-6.0
2000-01-31,2.6005000000000003
2000-02-01,2.0737
2000-02-02,5.1919
2000-02-03,11.8026
2000-02-04,-6.2379999999999995
2000-02-07,3.3777
2000-02-08,-4.7524999999999995
2000-02-09,6.4449
2000-02-10,0.3906
2000-02-11,-11.284
2000-02-14,1.7544
2000-02-15,-0.8082
2000-02-16,-0.4889
2000-02-17,-0.8734
2000-02-18,-8.5903
2000-02-22,-16.506
2000-02-23,-3.0303
2000-02-24,-1.7856999999999998
2000-02-25,-3.1818
2000-02-28,-7.5117
2000-02-29,0.1692
2000-03-01,31.9257
2000-03-02,-9.7311
2000-03-03,-0.4255
2000-03-06,-3.7037
2000-03-07,-4.7337
2000-03-08,7.1429
2000-03-09,2.6087
2000-03-10,-3.3898
2000-03-13,-5.2632
2000-03-14,-2.7778
2000-03-15,6.9841
2000-03-16,21.6617
2000-03-17,3.4146
2000-03-20,-11.0849
2000-03-21,11.1406
2000-03-22,2.3866
2000-03-23,2.0979
2000-03-24,-2.2831
2000-03-27,-2.3364
2000-03-28,4.3062000000000005
2000-03-29,-4.5872
2000-03-30,-29.3269
2000-03-31,0.6803
2000-04-03,-6.8412
2000-04-04,0.0907
2000-04-05,-0.7246
2000-04-06,2.5547
2000-04-07,3.2028
2000-04-10,-4.8276
2000-04-11,-0.3623
2000-04-12,-4.7273
2000-04-13,0.3817
2000-04-14,-8.365
2000-04-17,-0.4149
2000-04-18,12.0833
2000-04-19,3.3457
2000-04-20,9.7122
2000-04-24,-1.3115
2000-04-25,8.9701
2000-04-26,-14.0244
2000-04-27,6.7376000000000005
2000-04-28,-6.6445
2000-05-01,4.6263
2000-05-02,0.3401
2000-05-03,-5.0847
2000-05-04,7.5
2000-05-05,0.3322
2000-05-08,-0.9934
2000-05-09,0.3344
2000-05-10,-4.6667
2000-05-11,-3.4965
2000-05-12,-0.3623
2000-05-15,0.3636
2000-05-16,1.4493
2000-05-17,6.7857
2000-05-18,1.0033
2000-05-19,0.9934
