ticker,FSAM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-30,-21.352899999999998
2014-10-31,9.1997
2014-11-03,-3.6986
2014-11-04,-1.4936
2014-11-05,0.0722
2014-11-06,0.6494
2014-11-07,-0.2867
2014-11-10,-0.7189
2014-11-11,-2.0275
2014-11-12,4.139
2014-11-13,0.1419
2014-11-14,1.63
2014-11-17,1.3947
2014-11-18,1.5131000000000001
2014-11-19,0.3388
2014-11-20,-0.3376
2014-11-21,0.0
2014-11-24,1.0163
2014-11-25,-1.2743
2014-11-26,1.019
2014-11-28,-0.4035
2014-12-01,-3.7812
2014-12-02,2.7368
2014-12-03,-0.2049
2014-12-04,-3.4908
2014-12-05,0.7801
2014-12-08,-6.7558
2014-12-09,-1.434
2014-12-10,-1.9142000000000001
2014-12-11,1.3271
2014-12-12,0.7704
2014-12-15,-2.37
2014-12-16,-0.7048
2014-12-17,-0.6309
2014-12-18,1.5873
2014-12-19,-2.3438
2014-12-22,4.0
2014-12-23,3.2308
2014-12-24,-0.5216
2014-12-26,3.221
2014-12-29,1.9594
2014-12-30,0.427
2014-12-31,-1.1339
2015-01-02,-1.362
2015-01-05,2.3983
2015-01-06,0.0
2015-01-07,0.071
2015-01-08,-0.7092
2015-01-09,-1.5
2015-01-12,1.6679
2015-01-13,-0.0713
2015-01-14,-0.9279
2015-01-15,-1.8012000000000001
2015-01-16,2.2744
2015-01-20,-0.1435
2015-01-21,-2.0833
2015-01-22,1.4674
2015-01-23,0.1446
2015-01-26,1.0108
2015-01-27,-1.9299
2015-01-28,-0.4373
2015-01-29,-0.2196
2015-01-30,-0.5136
2015-02-02,-0.0737
2015-02-03,-1.2546
2015-02-04,-0.2242
2015-02-05,0.0749
2015-02-06,0.8982
2015-02-09,-8.0119
2015-02-10,-0.3226
2015-02-11,-2.9126
2015-02-12,-0.0833
2015-02-13,1.0008
2015-02-17,1.9818
2015-02-18,0.6478
2015-02-19,1.0459
2015-02-20,0.0796
2015-02-23,-0.0796
2015-02-24,0.6369
2015-02-25,2.1361
2015-02-26,1.5492
2015-02-27,-0.4577
2015-03-02,0.3065
2015-03-03,0.3056
2015-03-04,-2.5133
2015-03-05,-4.4531
2015-03-06,-3.2706
2015-03-09,0.2536
2015-03-10,-2.2766
2015-03-11,-0.2588
2015-03-12,3.8927
2015-03-13,-1.1657
2015-03-16,0.0842
2015-03-17,-1.1785
2015-03-18,-1.5332
2015-03-19,-0.6055
2015-03-20,2.1758
2015-03-23,0.0852
