ticker,HWCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-15,17.0
2006-06-16,1.0519
2006-06-19,2.4723
2006-06-20,1.5238
2006-06-21,-0.5629
2006-06-22,2.0126
2006-06-23,0.6165
2006-06-26,-1.9607999999999999
2006-06-27,0.125
2006-06-28,0.437
2006-06-29,5.5314
2006-06-30,1.2955999999999999
2006-07-03,-3.8372
2006-07-05,4.2926
2006-07-06,1.6232
2006-07-07,-0.2282
2006-07-10,1.7724
2006-07-11,-0.8427
2006-07-12,-0.3626
2006-07-13,-3.6165000000000003
2006-07-14,-1.1799
2006-07-17,-2.5672
2006-07-18,1.1642000000000001
2006-07-19,2.8468
2006-07-20,2.0024
2006-07-21,-1.6743999999999999
2006-07-24,3.5232
2006-07-25,-0.9643
2006-07-26,2.8064
2006-07-27,1.7269999999999999
2006-07-28,6.1336
2006-07-31,-2.8895999999999997
2006-08-01,-2.2317
2006-08-02,-1.3587
2006-08-03,-1.3994
2006-08-04,2.1457
2006-08-07,-1.5864
2006-08-08,2.0011
2006-08-09,-0.9264
2006-08-10,-0.2207
2006-08-11,-0.8813
2006-08-14,7.8977
2006-08-15,2.3196
2006-08-16,4.9874
2006-08-17,-5.1344
2006-08-18,1.568
2006-08-21,11.3546
2006-08-22,0.7603
2006-08-23,1.1984
2006-08-24,1.0088
2006-08-25,-3.3695
2006-08-28,-0.7819
2006-08-29,1.9928
2006-08-30,-9.325
2006-08-31,1.8119
2006-09-01,-4.6176
2006-09-05,0.8069
2006-09-06,-1.0005
2006-09-07,-2.9813
2006-09-08,-1.1458
2006-09-11,1.1591
2006-09-12,-4.7917
2006-09-13,-2.4617
2006-09-14,-1.0095
2006-09-15,-0.4533
2006-09-18,5.9761
2006-09-19,3.1686
2006-09-20,-2.1343
2006-09-21,4.9468
2006-09-22,-0.2534
2006-09-25,5.7419
2006-09-26,0.1442
2006-09-27,-0.9597
2006-09-28,-4.5543
2006-09-29,-4.5685
2006-10-02,-3.2979
2006-10-03,-3.1353
2006-10-04,7.95
2006-10-05,3.5770999999999997
2006-10-06,-0.4571
2006-10-09,3.4694
2006-10-10,5.572
2006-10-11,-3.2695
2006-10-12,2.1729
2006-10-13,3.3554
2006-10-16,-1.326
2006-10-17,-1.7609
2006-10-18,3.4434
2006-10-19,-1.0944
2006-10-20,5.0715
2006-10-23,5.0461
2006-10-24,-1.086
2006-10-25,-3.0828
2006-10-26,6.1002
2006-10-27,-4.4353
2006-10-30,-4.2974
2006-10-31,-5.0292
