ticker,BPMP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-26,-4.1667
2017-10-27,1.913
2017-10-30,0.3982
2017-10-31,1.983
2017-11-01,2.3333
2017-11-02,-0.9772
2017-11-03,0.0548
2017-11-06,0.5479
2017-11-07,-0.1635
2017-11-08,-0.9825
2017-11-09,-0.6615
2017-11-10,0.3885
2017-11-13,-0.1658
2017-11-14,-0.6645
2017-11-15,1.1706
2017-11-16,-0.1102
2017-11-17,-0.0552
2017-11-20,0.9934
2017-11-21,-0.9836
2017-11-22,-1.4901
2017-11-24,-0.1681
2017-11-27,-1.1223
2017-11-28,-1.7593999999999999
2017-11-29,1.6753
2017-11-30,3.8068
2017-12-01,-0.2189
2017-12-04,-0.2194
2017-12-05,0.4948
2017-12-06,-1.4223
2017-12-07,0.1665
2017-12-08,0.554
2017-12-11,-1.6529
2017-12-12,-0.056
2017-12-13,0.5045
2017-12-14,0.3904
2017-12-15,-1.6111
2017-12-18,1.6375
2017-12-19,0.4444
2017-12-20,1.0509
2017-12-21,3.2293
2017-12-22,0.6893
2017-12-26,2.159
2017-12-27,0.0
2017-12-28,2.7835
2017-12-29,3.1595
2018-01-02,-1.3126
2018-01-03,4.335
2018-01-04,3.2106
2018-01-05,-2.699
2018-01-08,-0.6582
2018-01-09,-2.2243
2018-01-10,-0.484
2018-01-11,2.6751
2018-01-12,0.5211
2018-01-16,0.9896
2018-01-17,2.6598
2018-01-18,-2.9091
2018-01-19,2.1067
2018-01-22,0.6419
2018-01-23,-0.7289
2018-01-24,-3.855
2018-01-25,-0.7637
2018-01-26,1.7316
2018-01-29,0.4728
2018-01-30,0.3765
2018-01-31,-1.4545
2018-02-01,4.2706
2018-02-02,-3.9577
2018-02-05,-1.2937
2018-02-06,2.8155
2018-02-07,-4.6742
2018-02-08,-2.9222
2018-02-09,-1.9388
2018-02-12,-0.4162
2018-02-13,2.3511
2018-02-14,1.072
2018-02-15,-0.8081
2018-02-16,3.3096
2018-02-20,0.69
2018-02-21,-1.5173999999999999
2018-02-22,-0.3976
2018-02-23,0.0499
2018-02-26,-1.7955
2018-02-27,-0.3555
2018-02-28,-2.8542
2018-03-01,2.6233
2018-03-02,-0.7157
2018-03-05,1.2358
2018-03-06,-1.8311
2018-03-07,0.5699
2018-03-08,-2.0093
2018-03-09,-1.1567
2018-03-12,1.8617
2018-03-13,-1.4099
2018-03-14,-0.4767
2018-03-15,-2.0756
2018-03-16,5.3261
2018-03-19,-3.0444
2018-03-20,-1.0112
