ticker,GFTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-08-14,-0.9901
2006-08-16,0.0
2006-08-17,-40.0
2006-08-18,50.0
2006-08-21,-33.3333
2006-08-22,16.6667
2006-08-24,7.1429
2006-08-25,0.0
2006-08-28,-1.3333
2006-08-30,-5.4054
2006-08-31,14.2857
2006-09-01,-2.5
2006-09-05,2.5641
2006-09-06,-18.75
2006-09-07,15.3846
2006-09-08,6.6667
2006-09-11,-5.0
2006-09-12,-7.8947
2006-09-13,4.2857
2006-09-14,1.3699
2006-09-15,0.0
2006-09-18,0.0
2006-09-19,0.0
2006-09-20,21.6216
2006-09-21,15.5556
2006-09-22,0.0
2006-09-25,-4.8077
2006-09-26,-12.1212
2006-09-27,-8.046
2006-09-28,-5.0
2006-09-29,-5.2632
2006-10-02,2.7778
2006-10-03,-5.4054
2006-10-04,2.8571
2006-10-05,-4.1667
2006-10-06,1.4493
2006-10-09,7.1429
2006-10-10,-10.6667
2006-10-11,-19.403
2006-10-12,33.3333
2006-10-13,-16.6667
2006-10-16,5.0
2006-10-17,-3.1746
2006-10-18,-1.6393
2006-10-19,5.0
2006-10-20,0.0
2006-10-23,-4.7619
2006-10-24,0.0
2006-10-25,-8.3333
2006-10-26,-5.4545
2006-10-27,-3.8462
2006-10-30,22.0
2006-10-31,-1.6393
2006-11-01,0.0
2006-11-02,-5.0
2006-11-03,3.5088
2006-11-06,0.0
2006-11-07,-6.7797
2006-11-08,0.0
2006-11-09,-5.4545
2006-11-10,-3.8462
2006-11-13,-8.0
2006-11-14,10.8696
2006-11-15,5.8824
2006-11-16,-1.8519
2006-11-17,3.7736
2006-11-20,-7.2727
2006-11-21,-5.0
2006-11-22,-7.1207
2006-11-27,2.2222
2006-11-28,-2.1739
2006-11-29,11.1111
2006-11-30,10.0
2006-12-01,-18.1818
2006-12-04,31.1111
2006-12-05,-18.6441
2006-12-06,4.1667
2006-12-07,2.0
2006-12-08,-9.8039
2006-12-11,8.6957
2006-12-12,-14.0
2006-12-13,-4.6512
2006-12-14,-7.3171
2006-12-15,21.0526
2006-12-18,-8.6957
2006-12-19,-5.0
2006-12-20,-8.5213
2006-12-21,17.8082
2006-12-22,-2.3256
2006-12-26,-11.9048
2006-12-27,-1.3514
2006-12-28,4.1096
2006-12-29,-2.6316
2007-01-03,0.0
2007-01-04,0.0
2007-01-05,8.1081
2007-01-08,-6.25
2007-01-09,6.6667
2007-01-10,-5.0
2007-01-11,0.0
2007-01-12,-5.2632
