ticker,FBVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-31,5.9701
2004-01-13,5.6338
2004-01-26,-9.3333
2004-01-27,-2.9412000000000003
2004-01-29,3.0303
2004-02-23,5.8824
2004-12-09,0.6944
2004-12-13,4.8276
2005-01-20,-1.3158
2005-04-04,9.3333
2006-01-31,5.122
2006-02-07,6.7285
2006-05-16,-2.1739
2007-02-05,-17.7778
2007-09-06,24.3243
2008-06-02,-21.1957
2008-06-04,4.8276
2009-02-03,10.526299999999999
2009-06-03,-14.2857
2009-06-22,16.6667
2009-10-30,-1.1905000000000001
2011-09-14,-27.7108
2011-10-27,0.0
2012-06-26,0.8403
2012-08-14,41.1765
2012-12-31,5.4397
2013-02-12,-6.8182
2013-02-13,1.2195
2013-02-20,-2.4096
2013-03-21,-1.2346
2013-03-22,2.5
2013-04-29,-3.6585
2013-10-30,-2.8804
2013-10-31,-8.1365
2014-02-24,5.4147
2014-07-02,5.4515
2014-07-03,0.0
2014-07-23,0.9922
2014-09-29,3.4126
2014-10-22,-5.625
2015-03-11,7.5341000000000005
2015-03-31,-0.0749
2015-04-17,0.0
2015-04-21,0.3
2015-05-05,17.1486
2015-05-06,-0.6383
2015-05-13,2.7837
2015-06-05,10.4167
2015-06-16,13.2075
2015-06-23,0.0
2015-07-28,-7.996
2015-07-29,3.2727
2015-07-31,-3.169
2015-08-12,-1.8182
2015-08-21,-0.8333
2015-08-24,-1.0271
2015-09-02,-0.1887
2015-09-04,0.0
2015-09-11,0.189
2015-09-14,0.0
2015-09-23,-0.3774
2015-09-29,2.6894
2015-10-09,-2.6667
2015-10-14,2.7397
2015-10-15,0.0
2015-10-19,0.9259
2015-10-20,0.9174
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,-1.8182
2015-10-27,0.0
2015-10-28,1.8519
2015-11-04,0.4545
2015-11-05,1.81
2015-11-06,0.0
2015-11-11,0.8889
2015-11-16,-3.0837
2015-11-19,0.0
2015-12-01,3.1818
2015-12-04,-3.0837
2015-12-07,0.0
2015-12-09,2.4545
2015-12-10,0.0
2015-12-14,-0.6211
2015-12-16,0.0
2015-12-17,2.5893
2015-12-18,-0.7833
2015-12-23,-2.6316
2015-12-28,0.1802
2015-12-29,-0.1799
2016-01-15,3.1673999999999998
2016-01-20,-3.5088
2016-02-02,0.0
2016-02-08,0.0
2016-02-17,0.0
2016-02-25,1.0
2016-02-26,-0.9901
2016-02-29,-0.4545
2016-03-07,0.4566
2016-03-08,0.1818
2016-03-09,0.0
