ticker,LEJU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-17,18.6
2014-04-21,-0.5902
2014-04-22,4.4953
2014-04-23,-4.789
2014-04-24,-1.705
2014-04-25,-8.4128
2014-04-28,-1.9886
2014-04-29,2.3188
2014-04-30,-0.7554
2014-05-01,1.6175000000000002
2014-05-02,1.2172
2014-05-05,-0.4625
2014-05-06,-4.2751
2014-05-07,-4.466
2014-05-08,-3.9634
2014-05-09,6.2434
2014-05-12,-0.5976
2014-05-13,8.016
2014-05-14,0.5566
2014-05-15,-3.2288
2014-05-16,-0.572
2014-05-19,-3.6433
2014-05-20,7.0647
2014-05-21,17.4721
2014-05-22,0.3956
2014-05-23,-1.1032
2014-05-27,-2.4701
2014-05-28,-0.8987
2014-05-29,2.4732
2014-05-30,-5.9533000000000005
2014-06-02,-5.047
2014-06-03,4.5045
2014-06-04,-5.2586
2014-06-05,3.1847
2014-06-06,3.5273
2014-06-09,-0.0852
2014-06-10,-4.8593
2014-06-11,3.5842
2014-06-12,-6.4014
2014-06-13,-3.2348
2014-06-16,-1.0506
2014-06-17,3.4749
2014-06-18,-7.3694
2014-06-19,0.4028
2014-06-20,-4.1123
2014-06-23,5.6485
2014-06-24,-0.9901
2014-06-25,-0.3
2014-06-26,4.7141
2014-06-27,0.3831
2014-06-30,-0.1908
2014-07-01,5.6405
2014-07-02,1.267
2014-07-03,3.4853
2014-07-07,3.0225
2014-07-08,-7.2087
2014-07-09,9.1238
2014-07-10,-1.1589
2014-07-11,-2.2613
2014-07-14,1.5424
2014-07-15,-0.5063
2014-07-16,-1.0178
2014-07-17,-3.1705
2014-07-18,1.7699
2014-07-21,1.1304
2014-07-22,3.6973000000000003
2014-07-23,9.0381
2014-07-24,2.6616
2014-07-25,0.1481
2014-07-28,1.4793
2014-07-29,2.551
2014-07-30,-0.5686
2014-07-31,-6.6476
2014-08-01,3.2159
2014-08-04,-2.003
2014-08-05,-9.6139
2014-08-06,-0.67
2014-08-07,6.914
2014-08-08,4.8896
2014-08-11,4.8872
2014-08-12,-0.6452
2014-08-13,-1.0101
2014-08-14,-0.8746
2014-08-15,-0.2206
2014-08-18,3.0214
2014-08-19,4.5064
2014-08-20,11.9097
2014-08-21,-0.6116
2014-08-22,13.292300000000001
2014-08-25,-5.2146
2014-08-26,3.1519
2014-08-27,-7.7778
2014-08-28,-1.0843
2014-08-29,-0.4263
2014-09-02,-1.1621
2014-09-03,6.1262
2014-09-04,0.8163
2014-09-05,-1.1567
