ticker,CRMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-05-14,-18.0
2010-05-17,15.4472
2010-05-18,0.0
2010-05-19,7.0423
2010-05-20,-4.9342
2010-05-21,-10.0346
2010-05-24,-3.8462
2010-05-25,-6.0
2010-05-26,10.6383
2010-05-27,6.5385
2010-05-28,-2.1661
2010-06-02,-4.059
2010-06-03,9.2308
2010-06-04,-5.2817
2010-06-07,-3.3457
2010-06-08,-9.2308
2010-06-09,3.8136
2010-06-10,-1.2245
2010-06-11,1.2397
2010-06-14,-4.0816
2010-06-15,0.0
2010-06-16,-2.1277
2010-06-17,2.1793
2010-06-18,-0.4308
2010-06-21,-2.1368
2010-06-22,-1.7467000000000001
2010-06-23,-11.1111
2010-06-24,20.0
2010-06-25,-3.3333
2010-06-28,-5.1724
2010-06-29,-6.8182
2010-06-30,7.3171
2010-07-01,-6.3636
2010-07-02,0.4854
2010-07-06,1.4493
2010-07-07,-4.7619
2010-07-08,-4.5
2010-07-09,-2.6178
2010-07-12,-5.914
2010-07-13,2.2857
2010-07-14,0.5587
2010-07-15,-8.1944
2010-07-16,5.9002
2010-07-20,-1.7143000000000002
2010-07-21,-6.9767
2010-07-22,-2.5
2010-07-23,-5.1282
2010-07-26,-4.7297
2010-07-27,3.5461
2010-07-28,0.0
2010-07-29,3.3348
2010-07-30,-3.89
2010-08-02,0.0
2010-08-03,28.2759
2010-08-04,-10.7527
2010-08-05,2.4096
2010-08-09,-7.6471
2010-08-10,-4.4586
2010-08-11,-6.6667
2010-08-12,7.1429
2010-08-13,0.0
2010-08-16,2.6667
2010-08-18,-2.5974
2010-08-23,-3.3333
2010-08-24,0.0
2010-08-25,-3.4483
2010-08-26,18.7857
2010-08-27,7.7871
2010-08-30,-2.371
2010-08-31,0.0
2010-09-03,-2.8571
2010-09-07,-5.8824
2010-09-08,-6.875
2010-09-09,0.6711
2010-09-10,6.0
2010-09-14,-1.8789
2010-09-15,2.5559
2010-09-16,0.0
2010-09-17,1.875
2010-09-20,-3.681
2010-09-21,-12.7389
2010-09-22,0.7299
2010-09-23,-6.5217
2010-09-24,13.9535
2010-09-27,-11.5646
2010-09-28,3.0769
2010-09-29,22.3881
2010-09-30,-3.6585
2010-10-01,4.9367
2010-10-04,-3.4981999999999998
2010-10-05,-2.5
2010-10-06,1.2821
2010-10-07,-8.8608
2010-10-08,-2.0833
2010-10-11,5.6738
2010-10-12,-9.396
2010-10-13,9.6296
2010-10-14,-5.4054
2010-10-15,2.8571
