ticker,ZIXI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-6.1514
2000-01-04,-1.8487
2000-01-05,2.1404
2000-01-06,-5.4484
2000-01-07,7.8014
2000-01-10,10.526299999999999
2000-01-11,-6.3988
2000-01-12,-4.6105
2000-01-13,1.3333
2000-01-14,-7.0724
2000-01-18,-5.3097
2000-01-19,-11.4953
2000-01-20,16.0507
2000-01-21,9.5541
2000-01-24,-14.2857
2000-01-25,-0.2907
2000-01-26,10.9815
2000-01-27,-1.5762
2000-01-28,-4.9822
2000-01-31,-7.4906
2000-02-01,4.4534
2000-02-02,3.876
2000-02-03,11.9403
2000-02-04,3.0
2000-02-07,-0.9709
2000-02-08,0.4902
2000-02-09,-2.1138
2000-02-10,3.6545
2000-02-11,-1.4423
2000-02-14,-8.1301
2000-02-15,-0.7965
2000-02-16,-0.0892
2000-02-17,12.1429
2000-02-18,-4.1401
2000-02-22,6.8937
2000-02-23,24.3201
2000-02-24,1.25
2000-02-25,7.284
2000-02-28,7.1346
2000-02-29,-7.5725
2000-03-01,-10.0523
2000-03-02,-8.0103
2000-03-03,13.9045
2000-03-06,6.0419
2000-03-07,-7.093
2000-03-08,20.025
2000-03-09,-4.2753
2000-03-10,-3.3769
2000-03-13,-0.7892
2000-03-14,-1.7045
2000-03-15,3.0058
2000-03-16,-1.7957
2000-03-17,11.2
2000-03-20,5.036
2000-03-21,-4.501
2000-03-22,1.2295
2000-03-23,22.8745
2000-03-24,-2.8007
2000-03-27,10.1695
2000-03-28,16.6154
2000-03-29,-5.5409
2000-03-30,-15.5028
2000-03-31,-3.719
2000-04-03,-12.103
2000-04-04,-14.0625
2000-04-05,9.0909
2000-04-06,-1.7708
2000-04-07,-3.4995
2000-04-10,-12.0879
2000-04-11,-13.875
2000-04-12,-1.7417
2000-04-13,3.3973
2000-04-14,-15.5714
2000-04-17,5.9222
2000-04-18,3.1949
2000-04-19,-4.0248
2000-04-20,-1.9355
2000-04-24,-5.9211
2000-04-25,8.3916
2000-04-26,-4.1935
2000-04-27,3.2407
2000-04-28,-3.6282
2000-05-01,-1.2267000000000001
2000-05-02,-3.3833
2000-05-03,-0.7092
2000-05-04,-0.3571
2000-05-05,5.5556
2000-05-08,-4.9236
2000-05-09,-4.2857
2000-05-10,-14.9254
2000-05-11,2.4123
2000-05-12,2.3555
2000-05-15,-0.6276
2000-05-16,3.5789
2000-05-17,-3.0488
2000-05-18,4.4025
2000-05-19,-2.8112
2000-05-22,-5.3202
