ticker,GLDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-30,-84.9505
2010-06-30,242.1053
2010-12-31,25.0
2011-01-18,0.0
2011-01-20,20.0
2011-03-07,0.0
2011-03-10,-3.3333
2011-03-15,-41.3793
2011-04-04,0.0
2011-04-07,0.0
2011-04-08,0.0
2011-04-11,-11.7647
2011-04-12,-20.0
2011-04-13,-16.6667
2011-05-02,10.0
2011-05-06,0.0
2011-05-19,0.0
2011-05-24,-18.1818
2011-05-27,22.2222
2011-06-02,-18.1818
2011-06-03,11.1111
2011-06-06,40.0
2011-06-07,14.2857
2011-06-08,6.25
2011-06-10,17.647100000000002
2011-06-13,5.0
2011-06-14,4.7619
2011-06-15,9.0909
2011-06-16,-33.3333
2011-06-17,12.5
2011-06-20,-16.6667
2011-06-21,-0.6667
2011-06-22,0.6711
2011-06-23,13.3333
2011-06-24,-50.5882
2011-06-27,1.1905000000000001
2011-06-28,-29.4118
2011-06-29,16.6667
2011-06-30,-7.1429
2011-07-01,-7.5
2011-07-05,48.0249
2011-07-06,-21.3483
2011-07-07,0.0
2011-07-08,4.2857
2011-07-11,8.0479
2011-07-12,-2.3772
2011-07-13,-2.5974
2011-07-14,8.6667
2011-07-15,-15.3374
2011-07-18,-13.0435
2011-07-19,-5.0
2011-07-20,-12.2807
2011-07-21,0.0
2011-07-25,0.0
2011-07-26,-18.75
2011-07-27,6.6154
2011-07-28,45.4545
2011-07-29,-1.7856999999999998
2011-08-01,-3.6364
2011-08-03,0.4193
2011-08-04,-0.1044
2011-08-05,1.9854
2011-08-08,-1.6393
2011-08-10,0.0
2011-08-11,-0.2083
2011-08-12,-20.4593
2011-08-15,0.0
2011-08-16,-3.4121
2011-08-17,-23.913
2011-08-18,12.5
2011-08-19,-5.0794
2011-08-22,-19.7324
2011-08-23,4.5833
2011-08-24,-4.3825
2011-08-25,-16.0417
2011-08-26,-0.7444
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-06,-19.5
2011-09-07,63.9752
2011-09-08,3.0303
2011-09-09,-11.7647
2011-09-12,-0.4167
2011-09-13,-19.2469
2011-09-14,-12.9534
2011-09-15,19.0476
2011-09-16,12.0
2011-09-19,-10.267900000000001
2011-09-20,9.9502
2011-09-22,-23.9819
2011-09-23,0.0
2011-09-26,42.8571
2011-09-27,0.0
2011-09-28,0.0
2011-09-29,16.6667
2011-09-30,-22.5
2011-10-03,-44.7005
2011-10-04,100.0
