ticker,CERC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-16,12.5
2015-11-17,-5.5556
2015-11-18,5.8824
2015-11-19,-3.7778
2015-11-20,1.6166
2015-11-23,-4.5455
2015-11-24,-4.7619
2015-11-25,9.0
2015-11-27,0.4587
2015-11-30,-4.1096
2015-12-01,-10.2381
2015-12-02,-3.4483
2015-12-04,-2.4725
2015-12-08,-9.5775
2015-12-09,1.8692
2015-12-10,-0.6116
2015-12-11,-3.6923
2015-12-14,-0.9585
2015-12-15,13.871
2015-12-16,0.6232
2015-12-17,-11.5991
2015-12-18,-0.6369
2015-12-21,26.6026
2015-12-22,-1.5222
2015-12-23,2.8311
2015-12-24,-0.25
2015-12-28,-2.7569
2015-12-29,-2.0619
2015-12-30,-5.7895
2015-12-31,-6.4246
2016-01-04,14.9254
2016-01-05,13.711
2016-01-06,1.6475
2016-01-07,-4.7191
2016-01-08,-12.7358
2016-01-11,-3.7804
2016-01-12,-7.0222
2016-01-13,-2.6736
2016-01-14,2.4328
2016-01-15,-0.9091
2016-01-19,-0.3058
2016-01-20,19.9387
2016-01-21,-17.3913
2016-01-22,-0.9288
2016-01-25,1.5625
2016-01-26,2.7692
2016-01-27,-11.3772
2016-01-28,4.7297
2016-01-29,1.3911
2016-02-01,-7.7351
2016-02-02,3.4483
2016-02-03,0.6667
2016-02-04,-0.6623
2016-02-05,-1.0
2016-02-08,2.0202
2016-02-09,-1.6502
2016-02-10,2.349
2016-02-11,0.9836
2016-02-12,-5.4343
2016-02-16,3.6865
2016-02-17,2.649
2016-02-18,-2.9032
2016-02-19,-0.3322
2016-02-22,1.3333
2016-02-23,-1.3158
2016-02-24,0.3333
2016-02-25,2.6578
2016-02-26,3.4628
2016-02-29,1.9706000000000001
2016-03-01,0.0
2016-03-02,-2.1471999999999998
2016-03-03,0.627
2016-03-04,1.2461
2016-03-07,5.8462
2016-03-08,11.3372
2016-03-09,-7.8329
2016-03-10,-2.2663
2016-03-14,28.985500000000002
2016-03-15,0.6742
2016-03-16,4.6875
2016-03-17,4.9041
2016-03-18,-14.0244
2016-03-21,-12.0567
2016-03-22,-4.3011
2016-03-23,1.6854
2016-03-24,3.7293
2016-03-28,-4.3941
2016-03-29,-7.7994
2016-03-30,0.8157
2016-03-31,11.777
2016-04-01,-2.1448
2016-04-04,3.2877
2016-04-05,0.0
2016-04-06,3.183
2016-04-07,-4.8843
2016-04-08,7.027
2016-04-11,-0.5051
2016-04-12,-6.0914
2016-04-13,8.3784
