ticker,AVLR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-15,87.25
2018-06-18,-1.8469
2018-06-19,4.2621
2018-06-20,-2.1309
2018-06-21,13.397
2018-06-22,-0.0784
2018-06-25,-2.7451
2018-06-26,-3.5282
2018-06-27,-4.4932
2018-06-28,-2.4508
2018-06-29,19.7174
2018-07-02,-8.7128
2018-07-03,1.7856999999999998
2018-07-05,-0.9881
2018-07-06,-3.4827
2018-07-09,0.2321
2018-07-10,-5.3474
2018-07-11,-5.694
2018-07-12,3.75
2018-07-13,-0.5456
2018-07-16,-0.2971
2018-07-17,1.2609
2018-07-18,-2.4904
2018-07-19,-1.811
2018-07-20,1.5133999999999999
2018-07-23,-1.5607
2018-07-24,-2.5319000000000003
2018-07-25,7.6718
2018-07-26,2.1646
2018-07-27,-5.4955
2018-07-30,-5.6516
2018-07-31,-5.099
2018-08-01,-0.4173
2018-08-02,-2.7500999999999998
2018-08-03,0.0808
2018-08-06,9.6609
2018-08-07,3.5827999999999998
2018-08-08,0.7107
2018-08-09,8.1393
2018-08-10,-7.7442
2018-08-13,-9.1959
2018-08-14,-6.4399
2018-08-15,-3.7746
2018-08-16,14.6813
2018-08-17,-1.2827
2018-08-20,3.3376
2018-08-21,4.4132
2018-08-22,-1.4876
2018-08-23,-3.5475
2018-08-24,-1.7893
2018-08-27,-0.0253
2018-08-28,1.0124
2018-08-29,-2.2801
2018-08-30,-4.0513
2018-08-31,-1.1491
2018-09-04,7.7859
2018-09-05,-0.627
2018-09-06,3.054
2018-09-07,0.9552
2018-09-10,2.426
2018-09-11,-2.8895999999999997
2018-09-12,-0.2195
2018-09-13,3.3244
2018-09-14,0.4731
2018-09-17,-1.554
2018-09-18,4.1617
2018-09-19,-0.1378
2018-09-20,-4.7597000000000005
2018-09-21,-2.2694
2018-09-24,1.1611
2018-09-25,-5.7631
2018-09-26,-4.7162
2018-09-27,-2.5836
2018-09-28,-2.4846
2018-10-01,8.5886
2018-10-02,-4.8774
2018-10-03,-0.9146
2018-10-04,-1.7063000000000001
2018-10-05,-3.8987
2018-10-08,-1.2732999999999999
2018-10-09,-2.3695
2018-10-10,1.7204000000000002
2018-10-11,-1.6611
2018-10-12,7.371
2018-10-15,0.143
2018-10-16,6.4267
2018-10-17,1.3151
2018-10-18,-3.3642
2018-10-19,-3.3443
2018-10-22,-3.46
2018-10-23,-1.5276
2018-10-24,-5.1611
2018-10-25,4.1837
2018-10-26,-0.6944
2018-10-29,-4.1958
2018-10-30,3.5227
