ticker,OC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-21,-6.3462
2006-09-22,-1.4374
2006-09-25,0.2083
2006-09-26,-2.2869
2006-09-27,1.0638
2006-09-28,7.3684
2006-09-29,2.9412000000000003
2006-10-02,-0.9524
2006-10-03,3.8462
2006-10-04,-1.8519
2006-10-05,0.0
2006-10-06,0.1887
2006-10-09,0.7533
2006-10-10,4.6729
2006-10-11,3.5714
2006-10-12,0.0
2006-10-13,0.0
2006-10-16,0.0
2006-10-17,-1.7931
2006-10-18,1.8258
2006-10-19,0.0
2006-10-20,-1.7241
2006-10-23,0.8772
2006-10-24,-2.087
2006-10-25,-1.9538
2006-10-26,1.4493
2006-10-27,0.0
2006-10-30,0.5357
2006-10-31,-0.3552
2006-11-01,-1.6042999999999998
2006-11-02,-4.4203
2006-11-03,-1.5163
2006-11-06,0.4619
2006-11-07,4.2146
2006-11-08,2.5368
2006-11-09,2.1872
2006-11-10,-0.0351
2006-11-13,-0.7722
2006-11-14,-0.6013
2006-11-15,0.5338
2006-11-16,3.5044
2006-11-17,-0.171
2006-11-20,1.062
2006-11-21,0.678
2006-11-22,1.4141
2006-11-24,1.1952
2006-11-27,-2.395
2006-11-28,0.8403
2006-11-29,0.8333
2006-11-30,2.4793
2006-12-01,0.8065
2006-12-04,1.088
2006-12-05,0.1899
2006-12-06,-0.5687
2006-12-07,-2.6374
2006-12-08,-0.6201
2006-12-11,0.4269
2006-12-12,-0.3597
2006-12-13,-0.2626
2006-12-14,0.0329
2006-12-15,-1.3487
2006-12-18,-0.5669
2006-12-19,-0.7378
2006-12-20,-0.3378
2006-12-21,-0.1695
2006-12-22,-0.2716
2006-12-26,0.5107
2006-12-27,0.5759
2006-12-28,0.9431
2006-12-29,-0.2336
2007-01-03,-2.709
2007-01-04,-3.3345000000000002
2007-01-05,-2.8449999999999998
2007-01-08,-0.6223
2007-01-09,-0.5529
2007-01-10,-0.1847
2007-01-11,0.5937
2007-01-12,1.0328
2007-01-16,0.4016
2007-01-17,2.8
2007-01-18,0.2122
2007-01-19,0.7413
2007-01-22,0.1051
2007-01-23,0.595
2007-01-24,0.8699
2007-01-25,0.0345
2007-01-26,0.5172
2007-01-29,-1.5436999999999999
2007-01-30,-0.6969
2007-01-31,0.4912
2007-02-01,0.2095
2007-02-02,0.5226
2007-02-05,0.4853
2007-02-06,0.9659
2007-02-07,2.5624000000000002
2007-02-08,-0.8328
2007-02-09,0.0
2007-02-12,0.907
2007-02-13,-0.0333
