ticker,IMUX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-17,0.0
2014-04-21,0.8333
2014-04-22,1.8182
2014-04-23,-0.5682
2014-04-24,0.2449
2014-04-25,0.8958
2014-04-28,1.4527999999999999
2014-04-29,3.0231
2014-04-30,0.3861
2014-05-01,-5.0
2014-05-02,-9.2308
2014-05-05,7.9393
2014-05-06,-2.4793
2014-05-07,4.0678
2014-05-08,0.4886
2014-05-09,1.2966
2014-05-12,-0.08
2014-05-13,-0.8006
2014-05-14,0.6457
2014-05-15,-2.3256
2014-05-16,1.642
2014-05-19,-1.6963
2014-05-20,-0.2465
2014-05-21,0.5766
2014-05-22,2.3750999999999998
2014-05-23,0.4
2014-05-27,-4.0637
2014-05-28,-2.7409
2014-05-29,2.7327
2014-05-30,-0.2494
2014-06-02,5.8333
2014-06-03,10.0
2014-06-04,0.2863
2014-06-05,26.3383
2014-06-06,3.5593
2014-06-09,6.9285
2014-06-10,21.1735
2014-06-11,20.6737
2014-06-12,12.0377
2014-06-13,0.0934
2014-06-16,3.6403
2014-06-17,-2.7019
2014-06-18,-5.8315
2014-06-19,-23.0341
2014-06-20,12.0903
2014-06-23,10.5203
2014-06-24,-3.0241
2014-06-25,-2.5514
2014-06-26,1.2
2014-06-27,1.1498
2014-06-30,-3.2327
2014-07-01,-5.5066
2014-07-02,5.8664
2014-07-03,-0.1101
2014-07-07,-11.4622
2014-07-08,0.4149
2014-07-09,4.0083
2014-07-10,-5.1251
2014-07-11,-1.5074999999999998
2014-07-14,9.0561
2014-07-15,-1.2086000000000001
2014-07-16,6.5509
2014-07-17,0.5556
2014-07-18,2.0626
2014-07-21,-1.5878999999999999
2014-07-22,-2.0535
2014-07-23,-6.3647
2014-07-24,3.1188
2014-07-25,-3.2571
2014-07-28,3.0461
2014-07-29,-4.084
2014-07-30,0.6083
2014-07-31,-7.6985
2014-08-01,-0.5677
2014-08-04,0.6148
2014-08-05,-1.2222
2014-08-06,-3.2258
2014-08-07,-4.0639
2014-08-08,6.0447
2014-08-11,4.623
2014-08-12,-0.5148
2014-08-13,5.5626999999999995
2014-08-14,1.6747999999999998
2014-08-15,0.4419
2014-08-18,3.76
2014-08-19,-0.1542
2014-08-20,-3.2432
2014-08-21,-2.8332
2014-08-22,-4.1478
2014-08-25,2.9991
2014-08-26,4.2013
2014-08-27,-0.8782
2014-08-28,-1.0471
2014-08-29,-2.4013
2014-09-02,-4.3369
2014-09-03,0.5231
2014-09-04,1.0841
2014-09-05,-1.8447
