ticker,NTGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-07-31,26.3571
2003-08-01,-2.4873
2003-08-04,-2.9565
2003-08-05,-1.4337
2003-08-06,1.6364
2003-08-07,1.3715
2003-08-08,2.8235
2003-08-11,-1.3158
2003-08-12,2.2609
2003-08-13,2.4375999999999998
2003-08-14,-4.0398
2003-08-15,0.6344
2003-08-18,-2.0057
2003-08-19,0.5322
2003-08-20,-0.5293
2003-08-21,-0.2924
2003-08-22,-0.5865
2003-08-25,0.885
2003-08-26,2.0468
2003-08-27,2.4069
2003-08-28,4.9245
2003-08-29,4.0
2003-09-02,-1.641
2003-09-03,2.0334
2003-09-04,3.3725
2003-09-05,1.3347
2003-09-08,1.2195
2003-09-09,-2.1687
2003-09-10,-10.6897
2003-09-11,-0.6067
2003-09-12,-1.4428
2003-09-15,0.4505
2003-09-16,-0.0561
2003-09-17,-0.2243
2003-09-18,-1.5177
2003-09-19,-1.8265
2003-09-22,-1.1628
2003-09-23,1.9412
2003-09-24,-3.116
2003-09-25,-5.003
2003-09-26,3.5737
2003-09-29,2.4213
2003-09-30,-1.6548
2003-10-01,-1.1418
2003-10-02,-0.7295
2003-10-03,-0.5511
2003-10-06,1.1084
2003-10-07,1.7052
2003-10-08,-4.5509
2003-10-09,12.1706
2003-10-10,-3.3557
2003-10-13,-0.2315
2003-10-14,-0.348
2003-10-15,1.5716
2003-10-16,-0.5158
2003-10-17,-0.3456
2003-10-20,1.0405
2003-10-21,5.6636
2003-10-22,-0.8663
2003-10-23,-2.7854
2003-10-24,-1.6854
2003-10-27,0.9714
2003-10-28,0.5659
2003-10-29,-11.9302
2003-10-30,-7.8594
2003-10-31,-0.0069
2003-11-03,2.1569
2003-11-04,-4.9559
2003-11-05,1.4285999999999999
2003-11-06,3.169
2003-11-07,-3.0717
2003-11-10,-2.8169
2003-11-11,-0.7246
2003-11-12,-0.7299
2003-11-13,4.1176
2003-11-14,0.6356
2003-11-17,-0.2807
2003-11-18,2.1816
2003-11-19,-0.2755
2003-11-20,-2.6243
2003-11-21,-1.0638
2003-11-24,-0.3513
2003-11-25,-3.4602
2003-11-26,-0.3726
2003-11-28,0.8975
2003-12-01,9.192
2003-12-02,0.8826
2003-12-03,0.2019
2003-12-04,0.2015
2003-12-05,7.3056
2003-12-08,-0.9994
2003-12-09,-2.5362999999999998
2003-12-10,-4.9068000000000005
2003-12-11,1.7699
2003-12-12,-0.3344
2003-12-15,3.8926
2003-12-16,0.3876
2003-12-17,-4.1828
