ticker,PBYI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-04-23,-3.7037
2012-04-24,7.6923
2012-04-25,-7.1429
2012-04-26,7.6923
2012-04-27,-7.1429
2012-04-30,3.8462
2012-05-01,1.8519
2012-05-02,-1.4545
2012-05-03,-1.476
2012-05-04,4.7940000000000005
2012-05-07,-7.0765
2012-05-08,0.0
2012-05-09,-1.9231
2012-05-10,3.9215999999999998
2012-05-11,-1.8868
2012-05-14,1.9231
2012-05-15,1.8868
2012-05-16,0.0
2012-05-17,-0.3704
2012-05-18,-3.3457
2012-05-21,-1.9231
2012-05-22,1.1764999999999999
2012-05-23,4.6512
2012-05-24,0.0
2012-05-25,-1.8519
2012-05-29,-3.5472
2012-05-30,1.7214
2012-05-31,3.8462
2012-06-01,-3.7037
2012-06-04,-15.3846
2012-06-05,13.6364
2012-06-07,0.0
2012-06-08,0.0
2012-06-11,0.0
2012-06-12,-2.0
2012-06-19,-2.449
2012-06-20,0.0
2012-06-21,-0.8368
2012-06-22,0.0
2012-06-25,0.0
2012-06-26,-4.6414
2012-06-27,0.0
2012-06-28,-0.4425
2012-06-29,0.0
2012-07-02,-1.3333
2012-07-03,1.3514
2012-07-06,1.0667
2012-07-12,-1.0554
2012-07-13,0.0
2012-07-16,-0.4444
2012-07-17,11.607099999999999
2012-07-19,-4.0
2012-07-20,4.1667
2012-07-25,-4.0
2012-07-27,4.1667
2012-07-30,3.84
2012-07-31,-1.772
2012-08-01,-2.7451
2012-08-02,0.0
2012-08-03,-0.8065
2012-08-07,4.065
2012-08-08,1.5625
2012-08-09,3.8462
2012-08-15,0.0
2012-08-20,7.4074
2012-08-21,-3.4483
2012-08-23,-0.7143
2012-08-24,4.3165
2012-08-27,-3.4483
2012-08-28,0.0
2012-08-29,0.7143
2012-08-30,-0.3546
2012-09-04,-0.3559
2012-09-05,4.6429
2012-09-06,1.7065000000000001
2012-09-07,0.0
2012-09-10,-6.0403
2012-09-14,1.7856999999999998
2012-09-18,0.0
2012-09-19,-1.7544
2012-09-20,7.1429
2012-09-21,-0.6667
2012-09-24,-2.6846
2012-09-25,2.7586
2012-09-27,0.6711
2012-09-28,0.0
2012-10-01,0.0667
2012-10-05,8.2612
2012-10-08,6.1538
2012-10-09,0.0
2012-10-11,-4.3478
2012-10-12,-6.0606
2012-10-15,0.0
2012-10-17,0.0
2012-10-18,6.4516
2012-10-19,35.6364
2012-10-22,-3.0384
2012-10-23,4.1475
2012-10-24,-3.9823
2012-10-25,0.9217
